,lemma,count,pos
0,come,279,v
1,would,227,n
2,camp,195,n
3,tribe,171,n
4,make,151,v
5,back,148,r
6,water,146,n
7,little,138,a
8,woman,137,n
9,away,123,r
10,could,108,n
11,shall,108,n
12,take,107,v
13,look,105,n
14,time,104,n
15,mother,95,n
16,child,92,n
17,kill,85,n
18,young,85,a
19,wife,85,n
20,must,84,n
21,spear,84,n
22,black_fellow,81,n
23,round,81,n
24,give,80,v
25,fire,75,n
26,tree,75,n
27,heard,67,n
28,know,65,v
29,soon,64,r
30,towards,64,n
31,live,64,a
32,never,62,r
33,told,62,n
34,black,61,a
35,follow,61,v
36,bird,61,n
37,hunt,61,n
38,ever,58,r
39,pivi,58,n
40,long,58,r
41,even,58,r
42,turn,58,n
43,call,57,n
44,creek,56,n
45,tell,55,n
46,thought,55,n
47,well,54,r
48,place,54,n
49,like,54,n
50,reach,53,n
51,found,52,n
52,find,52,v
53,great,52,a
54,still,51,r
55,return,50,n
56,weedah,49,n
57,last,49,a
58,night,48,n
59,stone,48,n
60,kangaroo,48,n
61,many,48,a
62,hole,48,n
63,knew,47,n
64,stick,47,n
65,fish,46,n
66,watch,46,n
67,first,46,r
68,want,45,n
69,wirreenun,45,n
70,near,45,n
71,might,44,n
72,daens,44,n
73,plain,43,n
74,bark,41,n
75,foot,41,n
76,quickly,41,r
77,alone,40,r
78,left,40,n
79,though,39,n
80,earth,39,n
81,spirit,38,n
82,head,38,n
83,noise,38,n
84,right,38,n
85,country,38,n
86,goonur,38,n
87,food,37,n
88,move,37,n
89,wurrunnah,37,n
90,dinewan,37,n
91,body,37,n
92,laugh,36,n
93,byamee,36,n
94,brälgah,36,n
95,carry,36,n
96,nothing,35,n
97,weeoombeens,34,n
98,wahn,34,n
99,ground,34,n
100,always,34,r
101,leave,34,v
102,seize,33,n
103,side,33,n
104,another,32,n
105,wait,32,n
106,hand,32,n
107,track,32,n
108,enemy,32,n
109,distance,31,n
110,strange,31,n
111,grass,31,n
112,begin,30,n
113,stay,30,n
114,good,30,a
115,hear,30,n
116,dead,29,a
117,husband,29,n
118,think,29,n
119,wayambeh,29,n
120,sound,29,n
121,girl,28,n
122,fight,28,n
123,fear,28,n
124,nest,28,a
125,voice,28,n
126,sister,28,n
127,goomblegubbon,28,n
128,honey,28,n
129,grow,27,n
130,every,27,n
131,piggiebillah,27,n
132,friend,27,n
133,river,27,n
134,borah,27,n
135,brother,27,n
136,threw,27,n
137,home,27,n
138,mungoongarlee,27,n
139,talk,27,n
140,bush,27,n
141,ouyouboolooey,27,n
142,show,26,n
143,answer,26,n
144,weapon,26,n
145,bring,26,n
146,people,26,n
147,much,26,a
148,life,26,n
149,next,25,a
150,scrub,25,n
151,bullai_bullai,25,n
152,flesh,25,n
153,kabo,25,n
154,along,24,n
155,surely,24,r
156,wurrawilberoo,24,n
157,wing,24,v
158,quite,24,r
159,brought,24,n
160,keep,24,v
161,strong,23,a
162,frighten,23,n
163,meet,23,n
164,escape,23,n
165,name,23,n
166,swiftly,23,r
167,hold,23,n
168,catch,23,n
169,together,23,r
170,high,23,a
171,others,23,n
172,dance,22,n
173,start,22,n
174,cover,22,n
175,something,22,n
176,determine,22,n
177,ready,22,a
178,seem,22,n
179,without,22,n
180,lose,21,v
181,forth,21,n
182,light,21,n
183,opossum,21,n
184,rain,21,n
185,save,21,v
186,behind,21,n
187,rest,21,n
188,help,20,n
189,shell,20,n
190,meamei,20,n
191,purleemil,20,n
192,change,20,n
193,sleep,20,n
194,rush,20,n
195,bank,20,n
196,indeed,20,r
197,laughter,20,n
198,poison,20,n
199,plan,20,n
200,point,19,n
201,none,19,n
202,word,19,n
203,pass,19,n
204,steal,19,n
205,wind,19,n
206,three,19,n
207,kept,18,n
208,throw,18,n
209,hurry,18,n
210,duck,18,n
211,bootoolgah,18,n
