,lemma,count,pos
0,come,795,v
1,would,616,n
2,great,518,a
3,take,507,v
4,time,443,n
5,could,434,n
6,give,408,v
7,make,398,v
8,look,348,n
9,little,332,a
10,father,316,n
11,life,288,n
12,upon,268,n
13,back,263,r
14,even,256,r
15,must,252,n
16,long,246,r
17,like,246,n
18,well,244,r
19,order,241,n
20,wife,233,n
21,mother,223,n
22,house,219,n
23,home,218,n
24,away,217,r
25,king,215,n
26,place,213,n
27,begin,208,n
28,water,201,n
29,hand,201,n
30,people,200,n
31,turn,200,n
32,dragon,198,n
33,woman,196,n
34,emperor,196,n
35,know,196,v
36,daughter,196,n
37,told,186,n
38,heaven,186,n
39,seem,178,n
40,good,176,a
41,heart,175,n
42,become,174,n
43,call,172,n
44,shall,169,n
45,last,168,a
46,every,168,n
47,never,167,r
48,head,166,n
49,child,166,n
50,live,166,a
51,face,165,n
52,spirit,165,n
53,name,164,n
54,word,163,n
55,young,163,a
56,first,161,r
57,found,159,n
58,master,159,n
59,rise,158,n
60,thought,153,n
61,might,153,n
62,many,152,a
63,girl,152,n
64,night,151,n
65,three,150,n
66,mountain,150,n
67,ever,150,r
68,suddenly,147,r
69,still,146,r
70,heard,146,n
71,kung,146,n
72,love,145,n
73,carry,144,n
74,city,142,n
75,room,141,n
76,year,139,n
77,though,137,n
78,temple,137,n
79,also,136,r
80,answer,135,n
81,tell,134,n
82,without,134,n
83,reply,134,n
84,river,134,n
85,wish,130,n
86,brought,129,n
87,nothing,128,n
88,return,128,n
89,enter,128,n
90,friend,127,n
91,thing,127,n
92,reach,126,n
93,family,126,n
94,soon,126,r
95,grow,125,n
96,follow,124,v
97,stood,124,n
98,left,123,n
99,along,120,n
100,moment,119,n
101,however,118,r
102,knew,114,n
103,fairy,114,n
104,earth,113,n
105,another,112,n
106,husband,110,n
107,since,109,n
108,money,108,n
109,ground,107,n
110,body,107,n
111,door,107,n
112,death,106,n
113,appear,105,v
114,sent,105,n
115,poor,104,a
116,world,104,n
117,latter,103,n
118,much,103,a
119,scholar,101,n
120,lead,100,n
121,together,100,r
122,think,100,n
123,foot,99,n
124,show,98,n
125,wait,98,n
126,large,97,a
127,save,97,v
128,high,96,a
129,stone,96,n
130,brother,95,n
131,want,94,n
132,youth,94,n
133,stand,94,n
134,side,93,n
135,happen,93,v
136,golden,91,a
137,always,91,r
138,fall,91,n
