,lemma,count,pos
0,come,466,v
1,king,428,n
2,take,356,v
3,little,308,a
4,give,303,v
5,would,264,n
6,mother,224,n
7,devil,214,n
8,time,208,n
9,well,207,r
10,look,200,n
11,make,184,v
12,home,170,n
13,water,170,n
14,could,168,n
15,hand,168,n
16,prince,165,n
17,back,163,r
18,young,161,a
19,want,159,n
20,know,147,v
21,like,143,n
22,princess,139,n
23,three,136,n
24,tell,131,n
25,daughter,130,n
26,must,129,n
27,never,128,r
28,help,127,n
29,away,126,r
30,head,123,n
31,woman,120,n
32,long,118,r
33,poor,115,a
34,dear,114,n
35,nothing,114,n
36,yanechek,114,n
37,told,113,n
38,first,112,r
39,shall,112,n
40,life,111,n
41,shoemaker,111,n
42,begin,111,n
43,wife,109,n
44,great,106,a
45,father,106,n
46,carry,104,n
47,horse,104,n
48,child,100,n
49,vitazko,100,n
50,last,99,a
51,beautiful,99,n
52,think,98,n
53,call,97,n
54,castle,96,n
55,even,95,r
56,thought,92,n
57,peter,90,n
58,good,90,a
59,soon,90,r
60,still,89,r
61,answer,89,n
62,another,88,n
63,girl,88,n
64,wait,87,n
65,return,86,n
66,dragon,86,n
67,dobrunka,82,n
68,people,82,n
69,death,80,n
70,yirik,80,n
71,place,78,n
72,farmer,77,n
73,found,76,n
74,frog,76,n
75,find,76,v
76,work,76,n
77,golden,75,a
78,forest,72,n
79,turn,71,n
80,promise,70,n
81,brother,70,n
82,without,70,n
83,much,69,a
84,second,69,a
85,third,69,a
86,heard,68,n
87,upon,68,n
88,reach,67,n
89,something,67,n
90,always,67,r
91,bring,66,n
92,shepherd,66,n
93,moment,65,n
94,tree,65,n
95,order,65,n
96,palace,65,n
97,brought,64,n
98,earth,64,n
99,open,64,a
100,bird,64,n
101,lead,64,n
102,marushka,63,n
103,master,63,n
104,raduz,62,n
105,goat,61,n
106,george,60,n
107,grow,60,n
108,apple,60,n
109,money,60,n
110,kubik,60,n
111,house,59,n
112,yezibaba,59,n
113,laugh,58,n
114,sister,58,n
115,instantly,58,r
116,night,58,n
117,every,58,n
118,together,57,r
119,foot,57,n
120,left,57,n
121,black,57,a
122,queen,57,n
123,word,57,n
124,maiden,56,n
125,wood,56,n
126,thing,55,n
127,room,55,n
128,window,55,n
