,lemma,count,pos
0,come,627,v
1,little,585,a
2,could,497,n
3,like,409,n
4,would,408,n
5,take,343,v
6,look,319,n
7,thought,312,n
8,well,312,r
9,make,287,v
10,must,285,n
11,give,269,v
12,princess,262,n
13,even,255,r
14,king,237,n
15,good,230,a
16,time,226,n
17,much,219,a
18,know,215,v
19,tree,215,n
20,shall,213,n
21,beautiful,212,n
22,rudy,207,n
23,great,203,a
24,upon,203,n
25,stood,199,n
26,prince,197,n
27,never,194,r
28,child,190,n
29,young,187,a
30,away,179,r
31,home,175,n
32,thing,174,n
33,flower,172,n
34,quite,168,r
35,every,167,n
36,heard,166,n
37,place,166,n
38,house,164,n
39,still,162,r
40,hand,160,n
41,back,156,r
42,bird,154,n
43,large,153,a
44,long,147,r
45,last,147,a
46,people,142,n
47,become,140,n
48,father,139,n
49,told,138,n
50,first,138,r
51,many,137,a
52,head,131,n
53,night,131,n
54,found,130,n
55,nothing,129,n
56,call,127,n
57,whole,123,a
58,might,123,n
59,begin,121,n
60,water,120,n
61,world,119,n
62,also,117,r
63,seem,116,n
64,soon,115,r
65,knew,115,n
66,queen,114,n
67,daughter,114,n
68,think,113,n
69,another,108,n
70,wish,107,n
71,tell,105,n
72,heart,103,n
73,forest,103,n
74,year,101,n
75,rise,101,n
76,carry,99,n
77,always,99,r
78,mother,98,n
79,poor,98,a
80,soldier,97,n
81,witch,96,n
82,want,96,n
83,maiden,96,n
84,live,95,a
85,castle,95,n
86,three,94,n
87,mountain,94,n
88,round,94,n
89,turn,93,n
90,high,93,a
91,something,93,n
92,right,92,n
93,room,90,n
94,woman,89,n
95,babette,89,n
96,till,89,n
97,word,89,n
98,sound,89,n
99,hear,87,n
100,life,86,n
101,palace,85,n
102,girl,85,n
103,love,84,n
104,wife,84,n
105,help,83,n
106,lady,82,n
107,grow,82,n
108,story,82,n
109,garden,81,n
110,rest,81,n
111,fall,81,n
112,brought,80,n
113,kiss,80,n
114,among,79,n
115,ever,78,r
116,white,78,a
117,town,76,n
118,side,76,n
119,brother,76,n
120,leaf,76,n
121,enough,76,r
122,wood,76,n
123,fell,75,v
124,everything,75,n
125,walk,75,n
126,next,74,a
127,window,74,n
128,stand,74,n
129,dance,73,n
130,pretty,73,r
131,foot,73,n
132,light,72,n
133,left,72,n
134,johannes,71,n
135,sing,71,v
136,money,70,n
137,near,69,n
138,earth,69,n
139,answer,69,n
140,others,68,n
141,felt,68,n
142,green,68,a
143,reach,68,n
144,best,68,a
145,follow,68,v
146,though,68,n
147,moment,68,n
148,open,67,a
149,however,67,r
150,country,66,n
151,esben,66,n
152,work,65,n
153,mouse,65,n
154,around,64,n
155,happen,64,v
156,wind,64,n
157,together,64,r
158,morning,63,n
159,dream,63,n
