,lemma,count,pos
0,come,1029,v
1,little,606,a
2,take,531,v
3,would,509,n
4,make,459,v
5,well,426,r
6,give,408,v
7,king,399,n
8,time,352,n
9,could,343,n
10,till,336,n
11,like,331,n
12,look,329,n
13,jack,311,n
14,great,301,a
15,never,292,r
16,away,289,r
17,woman,285,n
18,back,284,r
19,good,250,a
20,told,245,n
21,house,241,n
22,night,232,n
23,hand,224,n
24,long,223,r
25,head,218,n
26,home,216,n
27,mother,214,n
28,last,207,a
29,know,206,v
30,call,204,n
31,wife,203,n
32,giant,201,n
33,girl,199,n
34,shall,198,n
35,three,191,n
36,must,191,n
37,begin,184,n
38,tell,180,n
39,much,179,a
40,young,179,a
41,thing,175,n
42,found,171,n
43,poor,168,a
44,thought,168,n
45,lady,167,n
46,heard,167,n
47,live,163,a
48,soon,158,r
49,tree,156,n
50,ever,153,r
51,father,151,n
52,first,150,r
53,place,146,n
54,upon,146,n
55,think,144,n
56,castle,143,n
57,want,141,n
58,another,139,n
59,daughter,136,n
60,master,135,n
61,still,134,r
62,water,130,n
63,work,128,n
64,turn,126,n
65,round,124,n
66,beautiful,121,n
67,might,121,n
68,every,120,n
69,door,119,n
70,queen,114,n
71,dear,110,n
72,world,109,n
73,answer,107,n
74,nothing,107,n
75,brought,106,n
76,fire,106,n
77,though,106,n
78,word,105,n
79,wild,105,n
80,martin,105,n
81,carry,104,n
82,mouse,104,n
83,morning,103,n
84,prince,103,n
85,walk,102,n
86,always,102,r
87,without,102,n
88,find,102,v
89,many,102,a
90,princess,102,n
91,bear,101,n
92,foot,99,n
93,right,98,n
94,show,98,n
95,stop,97,n
96,left,97,n
97,taffy,97,n
98,pull,96,n
99,stone,95,n
100,child,90,n
101,money,89,n
102,wood,89,n
103,brother,89,n
104,next,89,a
105,horse,88,n
106,face,88,n
107,fell,87,v
108,name,86,n
109,fine,86,n
110,grow,86,n
111,near,85,n
112,people,85,n
113,heart,84,n
114,rush,82,n
115,wish,81,n
116,life,80,n
117,palace,80,n
118,thou,80,n
119,side,80,n
120,sleep,79,n
121,friend,79,n
122,knew,78,n
123,bird,78,n
124,keep,78,v
125,love,78,n
126,along,78,n
127,sister,77,n
128,rest,77,n
129,kill,76,n
130,open,76,a
131,play,76,n
132,tail,76,n
133,cave,75,n
134,dance,75,n
135,voice,75,n
136,high,74,a
137,room,74,n
138,middle,74,n
139,dress,73,n
140,order,73,n
141,black,73,a
142,dead,72,a
143,quite,71,r
144,milk,71,n
145,wait,71,n
146,reply,70,n
147,gold,70,n
148,year,70,n
149,enough,70,r
150,laugh,70,n
151,light,69,n
152,fool,69,n
153,something,69,n
154,reach,68,n
155,even,68,r
156,window,68,n
157,help,68,n
158,small,68,a
159,thee,67,n
160,start,67,n
161,daddy,67,n
162,hair,67,n
163,stood,67,n
164,large,66,a
165,roll,66,n
166,behind,66,n
167,follow,65,v
168,happen,65,v
169,mouth,65,n
170,sure,64,n
171,leave,63,v
172,sent,63,n
173,together,62,r
174,hard,62,a
175,however,62,r
176,stand,61,n
177,kept,61,n
178,full,61,a
179,tegumai,60,n
180,draw,60,n
181,golden,60,a
182,bring,60,n
183,stick,59,n
184,seem,59,n
185,part,59,n
186,cook,58,n
187,return,58,n
188,lose,58,v
189,gentleman,58,n
190,rise,58,n
191,teeny-tiny,57,a
192,witch,57,n
193,married,57,a
194,body,57,n
195,skin,57,n
196,kind,57,n
197,sight,56,n
198,best,55,a
199,anything,55,n
200,pocket,55,n
201,dark,55,n
202,fish,55,n
203,shoulder,54,n
204,town,54,n
205,mind,54,n
206,ring,54,n
207,white,54,a
208,ground,54,n
209,whole,54,a
210,enemy,53,n
211,half,53,n
212,marry,53,n
213,five,53,n
214,coat,53,n
215,fall,52,n
216,hear,52,n
217,ready,52,a
218,finger,52,n
219,moment,51,n
220,silver,50,n
221,road,50,n
222,majesty,50,n
223,touch,50,n
224,flew,50,n
225,kate,49,n
226,laid,49,n
227,remember,49,v
228,river,49,n
229,jumped,49,n
230,drew,49,n
231,step,49,n
232,send,48,n
233,country,48,n
234,farmer,48,n
235,happy,48,a
236,hole,48,n
237,court,47,n
238,also,47,r
239,become,47,n
240,felt,47,n
241,fear,46,n
242,knight,46,n
243,indeed,46,r
244,land,46,n
245,none,46,n
246,garden,46,n
247,butterfly,46,n
248,wonder,46,n
249,suleiman-bin-daoud,46,a
250,nose,46,r
251,fetch,45,n
252,table,45,n
253,towards,45,n
254,best_beloved,45,v
255,servant,45,n
256,drop,45,n
257,among,45,n
258,dinner,45,n
259,travel,44,n
260,longer,44,n
261,threw,44,n
262,promise,44,n
263,instead,44,r
264,bone,43,n
265,rock,43,n
266,wise,43,n
267,folk,43,n
268,watch,43,n
269,feather,43,n
270,huge,43,a
271,george,43,n
272,lift,42,n
273,spear,42,n
274,third,42,a
275,creature,42,n
276,death,42,n
277,sound,42,n
278,lord,42,n
279,appear,42,v
280,fill,41,n
281,hold,41,n
282,magic,41,n
283,talk,41,n
284,hall,41,n
285,ball,41,n
286,baby,41,n
287,rich,41,a
288,mean,41,n
289,listen,41,n
290,course,40,n
291,pretty,40,r
292,emperor,40,n
293,oven,40,r
294,please,40,n
295,angry,40,a
296,length,40,n
297,lead,40,n
298,husband,40,n
299,breakfast,40,n
300,rode,40,n
301,four,40,n
302,fair,40,n
303,noise,39,n
304,shoe,39,n
305,clean,39,n
306,fairy,39,n
307,bread,39,n
308,second,39,a
309,cover,39,n
310,earth,39,n
311,blue,39,n
312,close,39,r
313,speak,39,n
314,fellow,39,n
315,manner,39,n
316,elephant_child,38,n
317,pass,38,n
318,eldest_magician,38,a
319,quoth,38,n
320,maia,38,n
321,animal,38,n
322,hang,38,n
323,amma,38,n
324,chair,37,n
325,clever,37,n
326,break,37,n
327,bridge,37,n
328,mummy,37,n
329,catch,37,n
330,caught,37,n
331,piece,37,n
332,hour,37,n
333,tire,37,n
334,whittington,37,n
335,food,36,n
336,hunt,36,n
337,neck,36,n
338,royal,36,n
339,forest,36,n
340,matter,36,n
341,butcher,36,n
342,everything,35,n
343,shell,35,n
344,immediately,35,r
345,warm,35,n
346,corner,35,n
347,supper,35,n
348,point,35,n
349,thus,35,r
350,moon,35,n
351,leopard,35,n
352,meet,35,n
353,sword,35,n
354,enter,34,n
355,wave,34,n
356,miss,34,n
357,whatever,34,n
358,waska,34,n
359,mine,34,n
360,molly,34,r
361,wear,34,n
362,able,34,a
363,nice,34,a
364,drink,34,n
365,frighten,34,n
366,floor,34,n
367,almost,33,r
368,across,33,n
369,picture,33,n
370,leaf,33,n
371,blow,33,n
372,hide,33,n
373,sweet,33,n
374,balkis,32,n
375,gate,32,n
376,strong,32,a
377,next_morning,32,v
378,frog,32,n
379,fast,32,n
380,stay,32,n
381,forth,32,n
382,tear,32,n
383,cake,32,n
384,schurka,32,n
385,present,32,n
386,learn,32,n
387,since,32,n
388,ship,32,n
389,alone,32,r
390,bannock,32,n
391,dick,32,n
392,spoke,32,n
393,throw,31,n
394,form,31,n
395,broad,31,a
396,broke,31,n
397,cold,31,n
398,trouble,31,n
399,beast,31,n
400,slip,31,n
401,clothes,31,n
402,free,31,a
403,bank,31,n
404,stickly-prickly,31,a
405,really,31,r
406,crocodile,31,n
407,seven,31,n
408,minute,31,n
409,seven_year,30,n
410,soft,30,a
411,straight,30,n
412,smile,30,n
413,field,30,n
414,change,30,n
415,often,30,r
416,sing,30,v
417,mountain,30,n
418,terrible,30,a
419,hill,30,n
