,lemma,count,pos
0,king,1318,n
1,princess,1184,n
2,come,1044,v
3,would,1015,n
4,little,1012,a
5,make,881,v
6,could,836,n
7,take,829,v
8,queen,820,n
9,prince,749,n
10,give,740,v
11,fairy,719,n
12,time,654,n
13,well,613,r
14,great,542,a
15,know,519,v
16,look,481,n
17,never,464,r
18,like,426,n
19,much,418,a
20,shall,417,n
21,back,414,r
22,thought,390,n
23,must,385,n
24,found,378,n
25,good,378,a
26,upon,372,n
27,young,365,a
28,nothing,362,n
29,away,361,r
30,might,358,n
31,love,355,n
32,long,352,r
33,answer,344,n
34,last,339,a
35,without,336,n
36,soon,336,r
37,think,335,n
38,beautiful,319,n
39,hand,313,n
40,tell,305,n
41,even,304,r
42,begin,304,n
43,heard,303,n
44,palace,300,n
45,reply,299,n
46,place,296,n
47,told,294,n
48,find,290,v
49,wish,287,n
50,turn,278,n
51,first,276,r
52,thing,275,n
53,woman,273,n
54,head,270,n
55,quite,264,r
56,ever,260,r
57,every,253,n
58,word,249,n
59,seem,249,n
60,charm,247,n
61,poor,245,a
62,child,245,n
63,order,244,n
64,daughter,242,n
65,though,242,n
66,father,240,n
67,dress,240,n
68,room,236,n
69,moment,232,n
70,foot,231,n
71,beauty,231,n
72,still,228,r
73,call,227,n
74,left,227,n
75,people,218,n
76,carry,217,n
77,heart,212,n
78,brought,211,n
79,night,206,n
80,sent,205,n
81,girl,201,n
82,world,201,n
83,wife,200,n
84,always,200,r
85,another,198,n
86,help,197,n
87,friend,195,n
88,return,192,n
89,want,191,n
90,till,188,n
91,knew,187,n
92,life,186,n
93,become,186,n
94,lose,184,v
95,follow,184,v
96,many,183,a
97,leave,177,v
98,live,177,a
99,three,175,n
100,castle,172,n
101,enough,171,r
102,bird,171,n
103,promise,168,n
104,reach,166,n
105,house,165,n
106,face,164,n
107,court,163,n
108,water,162,n
109,happen,162,v
110,indeed,162,r
111,kingdom,161,n
112,near,160,n
113,mother,158,n
114,marry,157,n
115,fear,154,n
116,show,152,n
117,lady,152,n
118,horse,152,n
119,best,152,a
120,grow,151,n
121,sister,151,n
122,however,151,r
123,pretty,150,r
124,really,150,r
125,felt,149,n
126,matter,149,n
127,tree,148,n
128,speak,145,n
129,wait,144,n
130,present,144,n
131,anything,144,n
132,happy,144,a
133,name,144,n
134,appear,144,v
135,brother,143,n
136,since,143,n
137,country,142,n
138,dear,141,n
139,white,141,a
140,everything,139,n
141,talk,137,n
142,tower,135,n
143,voice,135,n
144,side,134,n
145,work,133,n
146,sight,132,n
147,lead,130,n
148,watch,130,n
149,laugh,129,n
150,bring,129,n
151,round,127,n
152,fell,126,v
153,rest,125,n
154,wood,124,n
155,full,124,a
156,enter,122,n
157,fine,121,n
158,next,121,a
159,whose,121,n
160,home,120,n
161,change,120,n
162,open,120,a
163,window,119,n
164,pass,119,n
165,gold,117,n
166,something,116,n
167,able,116,a
168,suddenly,115,r
169,large,113,a
170,dead,113,a
171,keep,112,v
172,believe,112,v
173,also,111,r
174,door,111,n
175,stop,111,n
176,walk,110,n
177,hold,109,n
178,desire,109,n
179,husband,108,n
180,black,107,a
181,light,107,n
182,kind,106,n
183,care,106,n
184,ring,105,n
185,cause,104,n
186,madam,104,n
187,receive,104,n
188,town,103,n
189,arrive,103,a
190,year,102,n
191,master,102,n
192,gift,100,n
193,sleep,99,n
194,wolf,99,n
195,need,99,n
196,small,98,a
197,beast,98,n
198,part,98,n
199,fall,97,n
200,together,97,r
201,creature,97,n
202,power,96,n
203,mean,96,n
204,forest,95,n
205,longer,94,n
206,hour,93,n
207,delighted,93,a
208,spoke,93,n
209,rise,93,n
210,hear,92,n
211,ambassador,92,n
212,touch,92,n
213,death,92,n
214,lovely,92,r
215,others,91,n
216,garden,91,n
217,stood,91,n
218,dare,91,n
219,tear,90,n
220,guard,90,n
221,morning,89,n
222,sure,88,n
223,please,88,n
224,lord,88,n
225,fill,88,n
226,trouble,88,n
227,thousand,88,n
228,lion,88,n
229,crown,87,n
230,rich,87,a
231,flower,87,n
232,thus,87,r
233,diamond,86,n
234,kept,86,n
235,ground,86,n
236,right,86,n
237,golden,86,a
238,spite,85,n
239,cover,85,n
240,kill,85,n
241,threw,84,n
242,unhappy,84,a
243,stone,84,n
244,notice,84,n
245,mouse,83,n
246,perhaps,83,r
247,married,83,a
248,mind,83,n
249,listen,82,n
250,held,82,n
251,pleasure,82,n
252,declare,82,n
253,florine,82,n
254,already,82,r
255,dream,81,n
256,behind,81,n
257,less,81,r
258,portrait,80,n
259,wonder,80,n
260,green,79,a
261,ready,79,a
262,supper,78,n
263,reason,78,n
264,vain,78,n
265,whole,78,a
266,money,78,n
267,refuse,78,n
268,least,78,a
269,remain,77,n
270,rather,77,r
271,alone,77,r
272,pleased,77,a
273,close,77,r
274,often,77,r
275,instant,76,n
276,certainly,76,r
277,hardly,76,r
278,high,75,a
279,blue,75,n
280,terrible,74,a
281,sheep,74,n
282,imagine,73,n
283,news,73,n
284,everyone,73,n
285,hair,73,n
286,stand,72,n
287,quickly,72,r
288,length,72,n
289,wicked,72,v
290,fate,72,n
291,marriage,72,n
292,remember,72,v
293,clothes,71,n
294,throw,71,n
295,feel,71,n
296,splendid,71,n
297,course,71,n
298,truitonne,71,n
299,towards,71,n
300,step,70,n
301,frog,70,n
302,abeille,70,n
303,bear,70,n
304,dolphin,69,n
305,stay,69,n
306,escape,69,n
307,true,69,a
308,presently,69,r
309,send,69,n
310,table,69,n
311,hope,68,n
312,fire,68,n
313,nose,68,r
314,save,67,v
315,search,67,n
316,ugly,67,r
317,allow,67,v
318,afraid,67,n
319,expect,67,v
320,avenant,67,n
321,anyone,67,n
322,alidor,66,n
323,mount,66,n
324,offer,66,n
