,lemma,count,pos
0,come,2301,v
1,little,1708,a
2,king,1478,n
3,take,1428,v
4,give,1155,v
5,would,1094,n
6,could,971,n
7,make,907,v
8,away,906,r
9,look,900,n
10,well,816,r
11,child,760,n
12,must,732,n
13,like,722,n
14,great,712,a
15,time,700,n
16,thought,682,n
17,back,652,r
18,home,640,n
19,father,628,n
20,shall,616,n
21,however,593,r
22,know,588,v
23,answer,586,n
24,good,579,a
25,woman,561,n
26,daughter,545,n
27,mother,543,n
28,want,539,n
29,three,510,n
30,long,500,r
31,house,492,n
32,nothing,491,n
33,thee,481,n
34,last,478,a
35,hand,475,n
36,thou,470,n
37,tree,470,n
38,begin,469,n
39,young,459,a
40,still,457,r
41,head,448,n
42,night,448,n
43,even,445,r
44,never,442,r
45,wife,441,n
46,first,435,r
47,call,433,n
48,forest,427,n
49,found,425,n
50,quite,418,r
51,much,415,a
52,heard,408,n
53,soon,407,r
54,beautiful,403,n
55,told,398,n
56,poor,384,a
57,carry,377,n
58,water,374,n
59,girl,371,n
60,every,366,n
61,place,355,n
62,horse,349,n
63,castle,349,n
64,brought,343,n
65,wish,339,n
66,stood,336,n
67,heart,332,n
68,brother,329,n
69,together,327,r
70,thing,322,n
71,might,319,n
72,princess,314,n
73,become,308,n
74,live,307,a
75,tell,305,n
76,dear,305,n
77,turn,300,n
78,help,290,n
79,life,289,n
80,reply,289,n
81,also,288,r
82,upon,283,n
83,bird,280,n
84,work,280,n
85,stand,278,n
86,maiden,271,n
87,door,269,n
88,left,266,n
89,wood,265,n
90,fell,265,v
91,queen,264,n
92,find,261,v
93,many,258,a
94,without,257,n
95,everything,256,n
96,open,254,a
97,fire,251,n
98,another,251,n
99,room,251,n
100,right,249,n
101,seem,247,n
102,order,247,n
103,knew,246,n
104,something,242,n
105,tailor,239,n
106,prince,237,n
107,huntsman,236,n
108,golden,234,a
109,people,234,n
110,gold,231,n
111,whole,231,a
112,walk,231,n
113,dwarf,230,n
114,think,228,n
115,money,228,n
116,always,226,r
117,foot,222,n
118,full,221,a
119,round,221,n
120,sleep,221,n
121,world,221,n
122,youth,216,n
123,word,215,n
124,happen,213,v
125,lead,212,n
126,till,211,n
127,master,211,n
128,grow,210,n
129,light,204,n
130,dead,203,a
131,table,202,n
132,follow,201,v
133,year,201,n
134,ever,199,r
135,wolf,198,n
136,white,197,a
137,sister,197,n
138,stone,196,n
139,return,195,n
140,longer,194,n
141,face,194,n
142,behind,191,n
143,reach,190,n
144,husband,188,n
145,bring,187,n
146,wait,187,n
147,mountain,186,n
148,lord,186,n
149,laid,185,n
150,felt,185,n
151,peasant,183,n
152,side,183,n
153,ground,183,n
154,fall,183,n
155,leave,181,v
156,dress,180,n
157,show,178,n
158,enough,177,r
159,love,177,n
