,lemma,count,pos
0,king,1383,n
1,come,1211,v
2,give,835,v
3,take,820,v
4,would,808,n
5,prince,726,n
6,wife,604,n
7,make,575,v
8,could,510,n
9,away,495,r
10,little,462,a
11,time,450,n
12,must,449,n
13,great,421,a
14,well,420,r
15,never,414,r
16,young,392,a
17,thought,392,n
18,back,391,r
19,house,385,n
20,princess,384,n
21,look,358,n
22,begin,352,n
23,know,349,v
24,shall,348,n
25,palace,342,n
26,father,337,n
27,think,331,n
28,found,313,n
29,poor,313,a
30,like,311,n
31,husband,308,n
32,queen,302,n
33,told,299,n
34,even,297,r
35,return,297,n
36,place,295,n
37,night,294,n
38,reply,292,n
39,last,286,a
40,life,282,n
41,soon,279,r
42,woman,279,n
43,beautiful,279,n
44,home,276,n
45,live,272,a
46,first,271,r
47,hand,266,n
48,mother,265,n
49,tree,263,n
50,head,263,n
51,kill,261,n
52,want,261,n
53,daughter,260,n
54,tell,259,n
55,good,258,a
56,every,257,n
57,call,257,n
58,find,254,v
59,become,254,n
60,thus,252,r
61,long,250,r
62,much,246,a
63,friend,242,n
64,without,231,n
65,heard,230,n
66,upon,226,n
67,order,220,n
68,thing,220,n
69,child,220,n
70,answer,216,n
71,water,207,n
72,tiger,206,n
73,word,203,n
74,nothing,198,n
75,turn,197,n
76,still,189,r
77,jackal,187,n
78,brought,186,n
79,horse,181,n
80,leave,180,v
81,carry,180,n
82,three,175,n
83,brother,174,n
84,country,173,n
85,servant,173,n
86,till,173,n
87,ever,172,r
88,people,172,n
89,left,169,n
90,minister,168,n
91,reach,166,n
92,many,165,a
93,love,163,n
94,brahman,163,n
95,another,160,n
96,quite,159,r
97,wish,157,n
98,also,156,r
99,garden,156,n
100,might,156,n
101,help,156,n
102,follow,156,v
103,happen,153,v
104,next,150,a
105,seven,150,n
106,fruit,149,n
107,knew,148,n
108,sent,148,n
109,near,145,n
110,fear,144,n
111,merchant,143,n
112,though,143,n
113,promise,142,n
114,master,142,n
115,full,141,a
116,food,137,n
117,dear,136,n
118,name,135,n
119,girl,133,n
120,course,132,n
121,foot,130,n
122,robber,130,n
123,death,130,n
124,wait,129,n
125,however,128,r
126,always,128,r
127,city,126,n
128,thief,126,n
129,rest,126,n
130,anything,125,n
131,show,125,n
132,face,125,n
133,lose,124,v
134,ground,122,n
135,keep,121,v
136,year,121,n
137,matter,120,n
138,story,120,n
139,bring,119,n
140,heart,118,n
141,morning,118,n
142,raja,118,n
143,money,114,n
144,mouse,114,n
145,farmer,113,n
146,moment,113,n
147,dead,111,a
148,dinner,111,n
149,watch,111,n
150,laugh,111,n
151,four,110,n
152,fell,109,v
153,rice,108,n
154,town,107,n
155,really,107,r
156,rajah,107,n
157,seem,107,n
158,stop,104,n
159,forest,103,n
160,determine,103,n
161,river,103,n
162,parrot,102,n
163,village,102,n
164,wicked,100,v
165,sleep,100,n
