,lemma,count,pos
0,come,1458,v
1,king,827,n
2,take,682,v
3,little,660,a
4,would,607,n
5,well,581,r
6,could,570,n
7,give,563,v
8,like,527,n
9,never,504,r
10,time,500,n
11,make,474,v
12,back,466,r
13,know,450,v
14,look,446,n
15,away,403,r
16,castle,400,n
17,giant,389,n
18,prince,383,n
19,head,382,n
20,fairy,375,n
21,till,363,n
22,good,361,a
23,night,349,n
24,great,328,a
25,child,325,n
26,place,318,n
27,tell,310,n
28,long,302,r
29,woman,293,n
30,think,282,n
31,last,266,a
32,house,264,n
33,thing,262,n
34,princess,260,n
35,people,257,n
36,heard,257,n
37,home,253,n
38,three,246,n
39,hand,244,n
40,must,243,n
41,told,236,n
42,queen,235,n
43,ever,232,r
44,water,231,n
45,every,224,n
46,mother,223,n
47,want,218,n
48,father,217,n
49,answer,217,n
50,daughter,215,n
51,begin,210,n
52,thought,206,n
53,much,199,a
54,nothing,195,n
55,first,195,r
56,found,195,n
57,always,193,r
58,another,188,n
59,horse,186,n
60,kathleen,184,n
61,call,182,n
62,erin,177,n
63,soon,175,r
64,upon,174,n
65,near,170,n
66,knew,169,n
67,young,169,a
68,left,169,n
69,rise,168,n
70,even,165,r
71,live,164,a
72,shall,159,n
73,poor,156,a
74,turn,154,n
75,dance,154,n
76,tree,152,n
77,life,152,n
78,foot,150,n
79,light,149,n
80,play,145,n
81,without,142,n
82,follow,142,v
83,stop,140,n
84,beautiful,139,n
85,kill,138,n
86,year,137,n
87,word,137,n
88,world,136,n
89,morning,135,n
90,find,135,v
91,brought,134,n
92,face,134,n
93,many,133,a
94,leave,131,v
95,naggeneen,130,n
96,oisin,130,n
97,terence,129,n
98,heart,128,n
99,gold,127,n
100,talk,126,n
101,gruagach,126,n
102,still,126,r
103,help,124,n
104,hill,123,n
105,anything,123,n
106,seem,123,n
107,stood,122,n
108,fire,122,n
109,wife,120,n
110,white,119,a
111,keep,118,v
112,lake,117,n
113,jack,117,n
114,enough,115,r
115,something,114,n
116,palace,114,n
117,laugh,113,n
118,right,111,n
119,door,111,n
120,side,111,n
121,brien,111,n
122,carry,111,n
123,work,111,n
124,rest,111,n
125,next,110,a
126,behind,110,n
127,land,109,n
128,might,109,n
129,ground,109,n
130,steed,108,n
131,sure,107,n
132,pass,107,n
133,wood,106,n
134,threw,105,n
135,bird,104,n
136,music,101,n
137,bring,101,n
138,moment,101,n
139,around,100,n
140,walk,98,n
141,wish,98,n
142,lose,98,v
143,john,98,n
144,step,97,n
145,name,97,n
146,open,96,a
147,sword,95,n
148,sleep,95,n
149,though,94,n
150,watch,93,n
151,ireland,93,n
152,save,92,v
153,girl,92,n
154,struck,91,n
155,fine,89,n
156,towards,89,n
157,grow,89,n
158,best,88,a
159,hear,87,n
160,sent,87,n
161,listen,85,n
162,sister,85,n
163,money,85,n
164,mind,84,n
165,room,83,n
166,stand,83,n
167,trouble,83,n
168,cucúlin,83,n
169,almost,82,r
170,wait,81,n
171,enda,81,n
172,second,80,a
173,dead,80,a
174,body,79,n
175,champion,79,n
176,outside,79,n
177,mountain,78,n
178,stone,78,n
179,love,78,n
180,happy,78,a
181,show,77,n
182,others,77,n
183,touch,77,n
184,together,77,r
185,silver,76,n
186,wind,76,n
187,reach,76,n
188,close,75,r
189,believe,75,v
190,fell,75,v
191,golden,75,a
192,table,74,n
193,hard,74,a
194,cowboy,74,n
195,iron,74,n
196,quite,74,r
197,ellen,74,n
198,brother,73,n
199,swallow,73,n
200,dwarf,73,n
201,floor,73,n
202,minute,73,n
203,sound,72,n
204,sight,72,n
205,boat,72,n
206,fight,72,n
207,pull,72,n
208,hold,71,n
209,happen,71,v
210,large,71,a
211,indeed,71,r
212,country,70,n
213,round,69,n
214,green,69,a
215,stay,69,n
216,welcome,69,n
217,part,69,n
218,high,69,a
219,rush,69,n
220,peter,68,n
221,full,68,a
222,care,67,n
223,strong,67,a
224,ready,67,a
225,next_morning,67,v
226,husband,67,n
227,garden,66,n
228,felt,66,n
229,wall,66,n
230,afraid,66,n
231,need,66,n
232,mick,66,n
233,inside,66,n
234,mean,66,n
235,river,65,n
236,black,65,a
237,yellow_lily,65,r
238,dress,65,n
239,supper,65,n
240,kept,65,n
241,rock,65,n
242,third,65,a
243,priest,65,n
244,island,64,n
245,lead,64,n
246,along,63,n
247,since,62,n
248,wonder,62,n
249,story,61,n
250,caught,61,n
251,spear,61,n
252,move,61,n
253,strange,61,n
254,speak,61,n
255,battle,61,n
256,dermod,61,n
257,ring,60,n
258,become,60,n
259,start,60,n
260,glad,60,n
261,shamus,60,n
262,earth,59,n
263,drop,59,n
264,half,59,n
265,feast,59,n
266,king_erin,59,n
267,conn-eda,59,n
268,star,59,n
269,harm,59,n
270,hurry,59,n
271,fear,58,n
272,ball,58,n
273,spoke,58,n
274,whole,58,a
275,voice,57,n
276,hunt,57,n
277,remember,57,v
278,played,56,n
279,kind,56,n
280,drink,56,n
281,to-day,55,n
282,sell,55,n
283,forest,54,n
284,shore,54,n
285,miller,54,n
286,fill,53,n
287,cover,53,n
288,rath,53,n
289,small,53,a
290,game,53,n
291,return,53,n
292,change,53,n
293,sean_ruadh,53,n
294,true,52,a
295,flower,52,n
296,shout,52,n
297,to-night,52,n
298,matter,52,n
299,death,52,n
300,bottle,52,n
301,berry,51,n
302,friend,51,n
303,to-morrow,51,n
304,except,51,n
305,everything,50,n
306,window,50,n
307,ship,50,n
308,gilla,50,n
309,front,50,n
310,married,50,a
311,blow,50,n
312,shaking-head,50,n
313,lusmore,49,n
314,really,49,r
315,sweet,49,n
316,piece,49,n
317,hair,49,n
318,song,49,n
319,grass,49,n
320,fair,48,n
321,course,48,n
322,hall,48,n
323,alone,48,r
324,learn,48,n
325,mouth,47,n
326,billy,47,r
327,spring,47,n
328,across,46,n
329,shoulder,46,n
330,drove,46,n
331,soft,46,a
332,bone,46,n
333,twelve,46,n
334,leaf,46,n
