,lemma,count,pos
0,king,909,n
1,come,716,v
2,take,695,v
3,give,603,v
4,make,491,v
5,would,424,n
6,little,362,a
7,like,358,n
8,time,357,n
9,prince,324,n
10,daughter,278,n
11,wife,271,n
12,woman,270,n
13,answer,264,n
14,well,255,r
15,could,248,n
16,must,247,n
17,know,241,v
18,great,235,a
19,poor,234,a
20,shall,228,n
21,head,228,n
22,call,228,n
23,reply,227,n
24,wish,225,n
25,away,223,r
26,told,221,n
27,mother,212,n
28,another,210,n
29,tell,210,n
30,heard,209,n
31,good,205,a
32,house,203,n
33,beautiful,201,n
34,back,200,r
35,father,198,n
36,fairy,193,n
37,palace,186,n
38,child,185,n
39,life,184,n
40,hand,183,n
41,look,183,n
42,found,182,n
43,begin,182,n
44,upon,179,n
45,last,178,a
46,turn,174,n
47,soon,169,r
48,never,167,r
49,home,166,n
50,thing,165,n
51,horse,164,n
52,young,163,a
53,heart,162,n
54,word,161,n
55,queen,160,n
56,princess,159,n
57,order,157,n
58,return,157,n
59,leave,155,v
60,sister,154,n
61,carry,152,n
62,nothing,152,n
63,girl,150,n
64,first,150,r
65,without,150,n
66,brother,149,n
67,love,148,n
68,place,147,n
69,find,146,v
70,much,144,a
71,want,144,n
72,three,144,n
73,ogre,141,n
74,even,135,r
75,thought,134,n
76,long,133,r
77,night,129,n
78,world,127,n
79,lose,127,v
80,brought,125,n
81,live,123,a
82,youth,118,n
83,master,117,n
84,become,114,n
85,husband,113,n
86,wood,111,n
87,money,110,n
88,water,108,n
89,servant,108,n
90,every,106,n
91,ever,106,r
92,sent,103,n
93,serpent,103,n
94,happen,103,v
95,kill,102,n
96,name,101,n
97,foot,101,n
98,open,100,a
99,ciccu,100,n
100,face,99,n
101,window,98,n
102,ground,98,n
103,stone,96,n
104,left,95,n
105,graceful,94,n
106,large,93,a
107,death,90,n
108,country,89,n
109,might,88,n
110,arrive,87,a
111,room,86,n
112,dear,86,n
113,always,84,r
114,ogress,84,n
115,dead,83,a
116,show,83,n
117,friend,83,n
118,thus,82,r
119,enter,81,n
120,bird,80,n
121,majesty,80,n
122,instantly,80,r
123,help,79,n
124,enough,79,r
125,till,79,n
126,promise,79,n
127,lady,79,n
128,bring,78,n
129,think,78,n
130,seem,76,n
131,many,76,a
132,wait,76,n
133,door,75,n
134,pass,75,n
135,sight,73,n
136,gold,72,n
137,work,71,n
138,tree,71,n
139,stop,71,n
140,fall,71,n
141,lead,71,n
142,appear,71,v
143,fine,70,n
144,moment,70,n
145,lord,69,n
146,remain,68,n
147,keep,67,v
148,rich,67,a
149,next,67,a
150,fire,67,n
151,receive,67,n
152,stood,67,n
153,present,66,n
154,desire,66,n
155,dress,65,n
156,heaven,65,n
157,reach,65,n
158,fill,64,n
159,threw,64,n
160,hair,63,n
161,matter,63,n
162,quickly,62,r
163,walk,62,n
164,light,62,n
165,hearing,62,n
166,second,61,a
167,listen,61,n
168,follow,61,v
169,mouth,61,n
170,command,61,n
171,depart,60,n
172,send,60,n
173,rest,59,n
174,beauty,59,n
175,sleep,59,n
176,still,59,r
177,table,59,n
178,giufà,59,n
179,everything,58,n
180,full,58,a
181,seize,58,n
182,people,58,n
183,castle,58,n
184,exclaim,57,n
185,grow,57,n
186,longer,57,n
187,piece,57,n
188,knew,56,n
189,whole,56,a
190,hear,55,n
191,seven,55,n
192,mountain,54,n
193,however,54,r
194,speak,54,n
195,fell,54,v
196,kept,53,n
197,together,53,r
198,basket,53,n
199,pretty,53,r
200,creature,53,n
201,rise,52,n
202,alone,52,r
203,others,52,n
204,anything,52,n
205,indeed,52,r
206,bread,52,n
207,soul,52,n
208,bear,52,n
209,sooner,52,n
210,therefore,51,r
211,sell,51,n
212,whereupon,51,n
213,hundred,51,v
214,cause,51,n
215,something,51,n
216,blood,51,n
217,road,51,n
218,whether,50,n
219,fear,50,n
220,golden,50,a
221,also,50,r
222,peasant,50,n
223,throw,50,n
224,slave,49,n
225,chamber,49,n
226,close,48,r
227,married,48,a
228,embrace,48,n
229,moscione,48,n
230,eagle,48,n
231,city,48,n
232,ring,48,n
233,kiss,48,n
234,four,48,n
235,trouble,47,n
236,third,47,a
237,mind,47,n
238,morning,47,n
239,meanwhile,47,r
240,tear,47,n
241,quite,47,r
242,peter,47,n
243,voice,47,n
244,witch,47,n
245,fair,46,n
246,change,46,n
247,part,46,n
248,since,46,n
249,treasure,45,n
250,year,45,n
251,dragon,45,n
252,purse,44,n
253,best,44,a
254,stick,44,n
255,wall,44,n
256,next_morning,44,v
257,marry,43,n
258,length,43,n
259,forth,43,n
260,hour,43,n
261,sack,43,n
262,near,43,n
263,handsome,43,n
264,thief,42,n
265,food,42,n
266,felt,42,n
267,fountain,42,n
268,talk,42,n
269,ready,42,a
270,garden,42,n
271,fish,42,n
272,reward,42,n
273,blow,41,n
274,animal,41,n
275,caught,41,n
276,believe,41,v
277,tail,41,n
278,shut,41,n
279,serve,41,n
280,white,40,a
281,seek,40,n
282,person,40,n
283,unhappy,40,a
284,rode,40,n
