,lemma,count,pos
0,come,750,v
1,take,459,v
2,upon,399,n
3,make,379,v
4,great,366,a
5,look,359,n
6,would,353,n
7,time,340,n
8,little,313,a
9,long,304,r
10,could,301,n
11,child,300,n
12,give,291,v
13,like,265,n
14,back,251,r
15,father,249,n
16,young,235,a
17,good,233,a
18,house,231,n
19,home,230,n
20,must,226,n
21,never,224,r
22,night,223,n
23,call,221,n
24,woman,209,n
25,monkey,207,n
26,king,204,n
27,mother,203,n
28,love,195,n
29,last,195,a
30,well,194,r
31,hand,194,n
32,wife,193,n
33,princess,189,n
34,know,185,v
35,lady,182,n
36,even,182,r
37,away,175,r
38,found,175,n
39,prince,171,n
40,soon,170,r
41,many,165,a
42,face,165,n
43,place,164,n
44,thought,161,n
45,heart,159,n
46,live,159,a
47,grow,158,n
48,head,157,n
49,life,148,n
50,shall,146,n
51,water,146,n
52,thing,144,n
53,tree,144,n
54,poor,144,a
55,answer,143,n
56,lord,143,n
57,told,141,n
58,begin,137,n
59,white,133,a
60,much,131,a
61,heard,130,n
62,daughter,129,n
63,land,127,n
64,mountain,125,n
65,still,125,r
66,wait,124,n
67,brother,123,n
68,fire,123,n
69,find,121,v
70,think,121,n
71,carry,117,n
72,beautiful,116,n
73,till,116,n
74,year,115,n
75,word,112,n
76,palace,112,n
77,foot,112,n
78,stood,112,n
79,return,111,n
80,tell,111,n
81,nothing,111,n
82,first,110,r
83,knew,109,n
84,lose,108,v
85,every,108,n
86,dragon,108,n
87,seem,106,n
88,together,104,r
89,turn,104,n
90,name,102,n
91,work,102,n
92,wish,99,n
93,girl,98,n
94,hare,98,n
95,people,98,n
96,brought,95,n
97,might,94,n
98,dead,93,a
99,three,93,n
100,sword,92,n
101,flower,91,n
102,rice,90,n
103,indeed,90,r
104,light,89,n
105,hair,89,n
106,jewel,89,n
107,maiden,88,n
108,momotaro,88,n
109,dance,87,n
110,ever,86,r
111,dear,86,n
112,near,85,n
113,another,85,n
114,strange,83,n
115,thus,83,r
116,left,83,n
117,help,82,n
118,round,82,n
119,sparrow,82,n
120,wonder,82,n
121,become,81,n
122,without,81,n
123,fell,81,v
124,wind,80,n
125,side,80,n
126,large,80,a
127,happy,79,a
128,ground,79,n
129,garden,78,n
130,show,78,n
131,master,78,n
132,moon,78,n
133,laugh,78,n
134,pass,77,n
135,world,77,n
136,japan,77,n
137,badger,77,n
138,earth,76,n
139,sweet,76,n
140,death,74,n
141,heaven,74,n
142,bright,74,n
143,kind,73,n
144,strong,73,a
145,friend,72,n
146,leave,72,v
147,happen,72,v
148,crab,71,n
149,reach,70,n
150,though,70,n
151,bird,70,n
152,mirror,70,n
153,husband,70,n
154,bamboo,69,n
155,rest,68,n
156,bring,68,n
157,morning,68,n
158,island,68,n
159,stone,67,n
160,quite,67,r
161,want,67,n
162,part,67,n
163,robe,66,n
164,best,66,a
165,branch,66,n
166,follow,65,v
167,fair,65,n
168,open,65,a
169,tear,65,n
170,kill,65,n
171,cloud,65,n
172,keep,65,v
173,wood,64,n
174,fish,64,n
175,enough,64,r
176,urashima,64,n
177,green,63,a
178,smile,63,n
179,full,62,a
180,spoke,62,n
181,fine,62,n
182,gate,62,n
183,right,62,n
184,boat,61,n
185,wonderful,61,n
186,something,61,n
187,often,60,r
188,high,60,a
189,felt,60,n
190,sent,60,n
191,walk,60,n
192,moment,60,n
193,always,59,r
194,servant,59,n
195,room,58,n
196,wise,58,n
197,forth,58,n
198,stop,58,n
199,body,57,n
200,happy_hunter,57,n
201,country,56,n
202,fall,55,n
203,rich,55,a
204,sleeve,55,n
205,maid,55,n
206,rise,55,n
207,watch,54,n
208,held,54,n
209,hour,54,n
210,emperor,53,n
211,fear,53,n
212,hold,53,n
213,fisherman,53,n
214,next,53,a
215,remember,53,v
216,stand,52,n
217,hard,52,a
218,small,52,a
219,present,52,n
220,please,51,n
221,behind,51,n
222,stay,51,n
223,voice,51,n
224,towards,50,n
225,desire,50,n
226,shore,50,n
227,move,50,n
228,form,50,n
229,quickly,50,r
230,wave,50,n
231,lead,50,n
232,youth,50,n
233,jelly_fish,49,n
234,story,49,n
235,river,49,n
236,kept,49,n
237,also,49,r
238,believe,49,v
239,ogre,49,n
240,knight,49,n
241,tortoise,48,n
242,golden,48,a
243,door,48,n
244,hook,48,n
245,warrior,48,n
246,garment,48,n
247,pretty,48,r
248,demon,48,n
249,sleep,48,n
250,tanuki,47,n
251,mortar,47,n
252,however,47,r
253,cold,47,n
254,dress,47,n
255,enemy,47,n
256,beauty,47,n
257,deep,46,n
258,black,46,a
259,promise,46,n
260,kintaro,45,n
261,arrow,45,n
262,escape,45,n
263,fill,45,n
264,afraid,45,n
265,animal,45,n
266,order,45,n
267,nose,44,r
268,suddenly,44,r
269,pull,44,n
270,treasure,44,n
271,crocodile,44,n
272,mistress,44,n
273,sister,44,n
274,sometimes,44,r
275,alone,44,r
276,bowl,43,n
277,listen,43,n
278,laid,43,n
279,sight,43,n
280,rock,43,n
281,tire,43,n
282,pleasure,43,n
283,roll,43,n
284,gold,43,n
285,wild,43,n
286,lover,43,n
287,samurai,43,n
288,glad,42,n
289,fairy,42,n
290,instead,42,r
291,creature,42,n
292,temple,42,n
293,change,42,n
294,kioto,42,n
295,road,41,n
296,rain,41,n
297,long_time,41,n
298,chief,41,n
299,village,41,n
300,step,41,n
301,matter,40,n
302,able,40,a
303,brave,40,n
304,wicked,40,v
305,flew,40,n
306,need,40,n
307,true,40,a
308,dark,40,n
309,lift,40,n
310,cause,39,n
311,blue,39,n
312,food,39,n
313,holy,39,n
314,mean,39,n
315,wing,39,v
316,lovely,39,r
317,dream,39,n
318,none,39,n
319,strength,39,n
320,appear,39,v
321,spot,39,n
322,spring,38,n
323,spirit,38,n
324,heavy,38,a
325,cover,38,n
326,japanese,38,a
327,hear,38,n
328,meet,38,n
329,therefore,38,r
330,bound,38,n
331,bridge,38,n
332,pain,38,n
333,trouble,38,n
334,money,38,n
335,hope,38,n
336,hung,37,n
337,sound,37,n
338,grass,37,n
339,bear,37,n
340,speak,37,n
341,soul,37,n
342,touch,37,n
343,rush,37,n
344,care,37,n
345,sure,36,n
346,pine_tree,36,n
347,everything,36,n
348,sing,36,v
349,plain,36,n
350,parent,36,n
351,angry,36,a
352,sorry,36,n
353,scarlet,35,n
354,stream,35,n
355,fight,35,n
356,piece,35,n
357,song,35,n
358,priest,35,n
359,summer,35,n
360,field,35,n
361,whole,34,a
362,drop,34,n
363,along,34,n
364,sorrow,34,n
365,weary,34,a
366,city,34,n
367,castle,34,n
368,fire_fade,34,n
369,court,34,n
370,across,34,n
371,mount,34,n
372,comfort,34,n
373,thou,34,n
374,journey,34,n
375,start,34,n
376,ready,34,a
377,neither,34,n
378,deity,34,n
379,bade,34,n
380,spread,33,n
381,queen,33,n
382,bride,33,n
383,province,33,n
384,certainly,33,r
385,play,33,n
386,mind,33,n
387,liver,33,n
388,presently,33,r
389,kettle,33,n
390,kanè,33,n
391,whose,32,n
392,talk,32,n
393,deer,32,n
394,kokai,32,n
395,feather,32,n
396,hidden,32,n
397,hagiwara,32,n
398,tale,32,n
