,lemma,count,pos
0,come,779,v
1,would,555,n
2,thor,446,n
3,could,424,n
4,make,419,v
5,take,397,v
6,little,393,a
7,giant,390,n
8,look,375,n
9,upon,319,n
10,give,313,v
11,great,309,a
12,king,299,n
13,like,296,n
14,away,281,r
15,hand,278,n
16,thought,271,n
17,odin,261,n
18,head,254,n
19,loki,249,n
20,back,242,r
21,know,240,v
22,thing,226,n
23,asgard,210,n
24,house,210,n
25,well,207,r
26,call,206,n
27,must,205,n
28,stood,191,n
29,time,185,n
30,told,181,n
31,sigurd,176,n
32,beautiful,176,n
33,long,172,r
34,knew,171,n
35,good,168,a
36,might,167,n
37,world,163,n
38,even,163,r
39,place,161,n
40,fire,159,n
41,still,158,r
42,shall,151,n
43,heard,148,n
44,child,147,n
45,brother,146,n
46,never,144,r
47,horse,144,n
48,people,141,n
49,wife,141,n
50,night,140,n
51,become,140,n
52,father,137,n
53,turn,137,n
54,found,137,n
55,water,136,n
56,earth,133,n
57,sword,133,n
58,work,132,n
59,last,131,a
60,first,130,r
61,brought,129,n
62,heart,127,n
63,woman,127,n
64,left,127,n
65,hall,126,n
66,young,122,a
67,tell,118,n
68,baldur,116,n
69,mother,116,n
70,home,114,n
71,think,114,n
72,live,114,a
73,word,112,n
74,rise,110,n
75,flower,110,n
76,hammer,108,n
77,every,108,n
78,wall,106,n
79,dwarf,100,n
80,light,99,n
81,gold,99,n
82,land,98,n
83,show,98,n
84,many,97,a
85,carry,97,n
86,name,96,n
87,grow,95,n
88,seem,94,n
89,tree,93,n
90,much,93,a
91,begin,93,n
92,always,92,r
93,nothing,91,n
94,ship,91,n
95,snow,91,n
96,another,90,n
97,soon,89,r
98,love,88,n
99,around,87,n
100,life,87,n
101,three,87,n
102,without,86,n
103,wind,83,n
104,door,83,n
105,frey,83,n
106,together,82,r
107,dead,82,a
108,quite,80,r
109,sigmund,80,n
110,bird,80,n
111,whole,79,a
112,find,77,v
113,peer,77,n
114,something,76,n
115,room,76,n
116,fell,76,v
117,stone,75,n
118,fall,74,n
119,dark,74,n
120,rock,74,n
121,ever,73,r
122,hair,73,n
123,near,73,n
124,ring,72,n
125,want,72,n
126,face,72,n
127,strong,72,a
128,deep,71,n
129,year,71,n
130,speak,70,n
131,little_claus,70,n
132,toward,70,n
133,across,69,n
134,spoke,68,n
135,bring,67,n
136,enough,66,r
137,forest,66,n
138,sleep,66,n
139,mountain,66,n
140,round,66,n
141,large,66,a
142,mighty,66,n
143,dweller_asgard,65,n
144,stand,65,n
145,keep,65,v
146,high,65,a
147,queen,65,n
148,ground,65,n
149,rest,65,n
150,palace,64,n
151,dragon,64,n
152,leaf,64,n
153,best,63,a
154,strength,63,n
155,wolf,63,n
156,daughter,63,n
157,rode,62,n
158,friend,62,n
159,fish,62,n
160,lamp,62,n
161,frigga,62,n
162,foot,61,n
163,reply,61,n
164,river,61,n
165,break,61,n
166,sound,61,n
167,help,61,n
168,poor,60,a
169,wood,60,n
170,thee,60,n
171,laugh,60,n
172,change,60,n
173,summer,60,n
174,girl,60,n
175,pass,59,n
176,wish,59,n
177,often,59,r
178,indeed,59,r
179,freya,59,n
180,frithiof,58,n
181,dance,58,n
182,kiss,57,n
183,longer,57,n
184,kill,57,n
185,loke,57,n
186,dream,57,n
187,maiden,57,n
188,field,56,n
189,lose,56,v
190,open,56,a
191,laid,56,n
192,held,56,n
193,threw,56,n
194,behind,55,n
195,ocean,55,n
196,kept,55,n
197,within,55,n
198,white,55,a
199,gudrun,55,n
200,book,55,n
201,jötunheim,55,n
202,watch,55,n
203,dress,54,n
204,leave,54,v
205,lady,53,n
206,also,53,r
207,body,53,n
208,death,53,n
209,dwell,53,n
210,hear,53,n
211,struck,52,n
212,æsir,52,n
213,others,52,n
214,reach,51,n
215,sister,51,n
216,walk,51,n
217,green,51,a
218,iron,51,n
219,talk,50,n
220,flew,50,n
221,window,50,n
222,street,50,n
223,feast,50,n
224,cave,50,n
225,among,50,n
226,town,50,n
227,beside,49,n
228,power,49,n
229,side,49,n
230,form,49,n
231,brynhild,49,n
232,geirrod,49,n
233,lift,48,n
234,horn,48,n
235,golden,48,a
236,wonderful,48,n
237,thrym,48,n
238,full,48,a
239,flame,48,n
240,drop,47,n
241,though,47,n
242,along,47,n
243,wave,47,n
244,close,47,r
245,fine,47,n
246,church,47,n
247,hold,47,n
248,everything,47,n
249,husband,47,n
250,sent,47,n
251,boat,46,n
252,swan,46,n
253,star,46,n
254,happen,46,v
255,felt,46,n
256,bright,46,n
257,chain,46,n
258,black,46,a
259,thou,46,n
260,city,45,n
261,till,45,n
262,remain,45,n
263,grandmother,45,n
264,seat,45,n
265,right,45,n
266,stranger,45,n
267,story,45,n
268,hung,44,n
269,remember,44,v
270,table,44,n
271,regin,44,n
272,cover,44,n
273,read,44,n
274,wonder,44,n
275,appear,44,v
276,morning,44,n
277,small,44,a
278,drew,43,n
279,plant,43,n
280,sang,43,n
281,shin,43,n
282,spear,43,n
283,able,43,a
284,cold,43,n
285,voice,43,n
286,ready,43,a
287,evil,43,n
288,answer,43,n
289,peasant,43,n
290,next,42,a
291,skirnir,42,n
292,branch,42,n
293,whose,42,n
294,fill,42,n
295,brock,42,n
296,feel,41,n
297,æsir_vanir,41,n
298,stay,41,n
299,sight,41,n
300,utgard,41,n
301,country,41,n
302,moon,41,n
303,hela,41,n
304,winter,41,n
305,kettle,41,n
306,princess,40,n
307,rich,40,a
308,galosh,40,n
309,hoard,40,n
310,blue,40,n
311,fear,40,n
312,serpent,40,n
313,skin,39,n
314,enter,39,n
315,eliza,39,n
316,kind,39,n
317,follow,39,v
318,wise,39,n
319,poet,39,n
320,hard,39,a
321,built,38,n
322,race,38,n
323,happy,38,a
324,terrible,38,a
325,sing,38,v
326,listen,38,n
327,none,38,n
328,really,38,r
329,rush,38,n
330,stove,37,n
331,care,37,n
