,lemma,count,pos
0,come,2230,v
1,make,1162,v
2,take,1018,v
3,would,909,n
4,look,885,n
5,little,866,a
6,woman,833,n
7,time,828,n
8,back,786,r
9,away,784,r
10,people,718,n
11,great,696,a
12,could,687,n
13,young,648,a
14,long,615,r
15,give,603,v
16,lodge,599,n
17,like,599,n
18,house,578,n
19,home,555,n
20,night,541,n
21,kill,532,n
22,call,488,n
23,must,479,n
24,head,468,n
25,upon,464,n
26,child,458,n
27,wife,452,n
28,place,452,n
29,found,441,n
30,told,438,n
31,soon,437,r
32,know,432,v
33,last,428,a
34,never,425,r
35,water,425,n
36,bear,421,n
37,near,413,n
38,live,399,a
39,heard,397,n
40,well,394,r
41,many,392,a
42,begin,380,n
43,fire,378,n
44,girl,378,n
45,good,376,a
46,tree,376,n
47,father,372,n
48,first,366,r
49,chief,364,n
50,brother,360,n
51,thought,352,n
52,tell,350,n
53,hand,349,n
54,shall,345,n
55,always,342,r
56,want,341,n
57,foot,336,n
58,left,336,n
59,answer,320,n
60,indian,319,a
61,even,310,r
62,bird,304,n
63,every,293,n
64,face,293,n
65,thing,292,n
66,white,289,a
67,turn,287,n
68,old-man,283,a
69,mother,277,n
70,village,277,n
71,around,275,n
72,start,275,n
73,reach,274,n
74,still,271,r
75,another,267,n
76,rock,257,n
77,name,257,n
78,stop,253,n
79,door,253,n
80,return,253,n
81,morning,251,n
82,arrow,248,n
83,meat,247,n
84,ground,246,n
85,sister,244,n
86,find,244,v
87,daughter,243,n
88,till,239,n
89,light,238,n
90,knew,237,n
91,carry,236,n
92,follow,234,v
93,stone,232,n
94,river,231,n
95,grow,231,n
96,walk,231,n
97,side,230,n
98,large,228,a
99,friend,228,n
100,spirit,227,n
101,hunter,226,n
102,much,225,a
103,life,224,n
104,wind,220,n
105,stood,216,n
106,become,215,n
107,kept,215,n
108,along,213,n
109,heart,213,n
110,reply,211,n
111,next,210,a
112,mountain,208,n
113,without,207,n
114,hunt,204,n
115,food,204,n
116,deer,204,n
117,rabbit,203,n
118,toward,202,n
119,fall,202,n
120,keep,201,v
121,three,200,n
122,animal,197,n
123,wood,197,n
124,brought,196,n
125,wait,196,n
126,among,196,n
127,year,195,n
128,moon,195,n
129,think,195,n
130,ever,195,r
131,help,194,n
132,right,192,n
133,pass,191,n
134,land,191,n
135,world,190,n
136,earth,190,n
137,dance,189,n
138,change,187,n
139,blue,187,n
140,strong,186,a
141,laugh,185,n
142,seem,185,n
143,nothing,184,n
144,country,184,n
145,fell,184,v
146,work,183,n
147,wolf,183,n
148,wish,183,n
149,lose,182,v
150,might,182,n
151,watch,181,n
152,lake,180,n
153,hill,178,n
154,dead,177,a
155,show,173,n
156,together,173,r
157,horse,173,n
158,talk,172,n
159,small,171,a
160,voice,167,n
161,manabozho,166,n
162,beautiful,163,n
163,leave,163,v
164,something,163,n
165,travel,161,n
166,sing,161,v
167,open,160,a
168,though,160,n
169,poor,159,a
170,forest,158,n
171,skin,157,n
172,stand,157,n
173,across,157,n
174,snow,156,n
175,husband,156,n
176,happen,153,v
177,grasshopper,151,n
178,sleep,151,n
179,body,151,n
180,listen,149,n
181,four,149,n
182,high,149,a
183,fast,148,n
184,threw,148,n
185,fish,148,n
186,eagle,148,n
187,rise,147,n
188,camp,147,n
189,close,145,r
190,ball,144,n
191,word,144,n
192,king,143,n
193,corn,143,n
194,spot,142,n
195,behind,142,n
196,coyote,141,n
197,person,139,n
198,game,138,n
199,move,138,n
200,play,138,n
201,bring,136,n
202,ready,133,a
203,power,132,n
204,tail,132,n
205,bone,131,n
206,raven,131,n
207,sight,130,n
208,often,130,r
209,rest,130,n
210,hard,130,a
211,sent,130,n
212,snake,129,n
213,alone,129,r
214,black,128,a
215,grandmother,128,n
216,enough,128,r
217,cover,127,n
218,strange,127,n
219,giant,126,n
220,song,126,n
221,hair,125,n
222,sound,125,n
223,course,124,n
224,dream,123,n
225,enter,122,n
226,appear,122,v
227,island,121,n
228,stick,121,n
229,moment,121,n
230,fear,120,n
231,long_time,119,n
232,witch,119,n
233,drop,118,n
234,lead,118,n
235,winter,118,n
236,shore,117,n
237,point,117,n
238,star,117,n
239,promise,116,n
240,others,116,n
241,sometimes,115,r
242,buffalo,113,n
243,part,112,n
244,love,110,n
245,hear,110,n
246,hurry,110,n
247,hold,109,n
248,baby,108,n
249,stay,107,n
250,caught,107,n
251,living,106,n
252,family,106,n
253,half,106,n
254,fill,105,n
255,step,105,n
256,piece,104,n
257,fine,104,n
258,form,104,n
259,full,104,a
260,enemy,103,n
261,distance,103,n
