,lemma,count,pos
0,come,268,v
1,people,240,n
2,house,143,n
3,could,131,n
4,time,127,n
5,take,127,v
6,call,125,n
7,would,120,n
8,home,119,n
9,great,118,a
10,make,117,v
11,tree,115,n
12,give,107,v
13,look,97,n
14,woman,95,n
15,many,93,a
16,water,90,n
17,told,90,n
18,place,88,n
19,little,88,a
20,wife,84,n
21,rice,84,n
22,mountain,83,n
23,become,82,n
24,must,82,n
25,aponibolinayen,80,n
26,town,80,n
27,back,78,r
28,aponitolau,75,n
29,spirit,75,n
30,soon,75,r
31,grow,73,n
32,found,73,n
33,father,69,n
34,reach,69,n
35,away,68,r
36,kill,68,n
37,live,66,a
38,beautiful,64,n
39,carry,63,n
40,night,63,n
41,like,61,n
42,head,60,n
43,long,57,r
44,land,56,n
45,good,56,a
46,wish,55,n
47,start,55,n
48,large,55,a
49,king,55,n
50,begin,55,n
51,brought,54,n
52,return,53,n
53,answer,52,n
54,know,52,v
55,never,52,r
56,girl,51,n
57,want,50,n
58,near,50,n
59,earth,50,n
60,fight,49,n
61,bird,49,n
62,mother,49,n
63,ground,48,n
64,field,47,n
65,heard,46,n
66,fire,46,n
67,still,45,r
68,stone,45,n
69,plant,44,n
70,well,44,r
71,gawigawen,44,n
72,lumawig,43,n
73,shall,43,n
74,island,43,n
75,brother,43,n
76,kanag,42,n
77,first,42,r
78,child,42,n
79,name,41,n
80,fish,41,n
81,finally,41,r
82,fill,40,n
83,cover,40,n
84,thought,39,n
85,last,38,a
86,however,38,r
87,always,38,r
88,sent,38,n
89,left,38,n
90,bantugan,37,n
91,knew,36,n
92,command,36,n
93,shell,35,n
94,even,35,r
95,together,35,r
96,find,35,v
97,decide,34,n
98,reply,34,n
99,also,34,r
100,help,34,n
101,monkey,33,n
102,stop,33,n
103,body,33,n
104,captan,33,n
105,hand,33,n
106,world,33,n
107,wait,33,n
108,star,32,n
109,tell,32,n
110,every,32,n
111,dead,31,a
112,deer,31,n
113,fear,31,n
114,suddenly,31,r
115,husband,31,n
116,river,30,n
117,search,30,n
118,side,30,n
119,three,30,n
120,poor,30,a
121,though,30,n
122,betel-nut,30,n
123,lose,29,v
124,work,29,n
125,caught,29,n
126,much,28,a
127,happy,28,a
128,might,28,n
129,nothing,28,n
130,food,28,n
131,spear,27,n
132,ring,27,n
133,fruit,27,n
134,alone,27,r
135,turtle,27,n
136,high,27,a
137,turn,27,n
138,gold,27,n
139,around,27,n
140,sister,26,n
141,thing,26,n
142,catch,26,n
143,cocoanut,26,n
144,open,26,a
145,order,26,n
146,spring,26,n
147,bamboo,26,n
148,upon,26,n
149,life,26,n
150,master,25,n
151,daughter,25,n
152,power,25,n
153,next,25,a
154,parent,25,n
155,threw,24,n
156,dumalawi,24,n
157,basket,24,n
158,frighten,24,n
159,forest,24,n
160,believe,24,v
161,think,24,n
162,strange,24,n
163,money,24,n
164,sayen,23,n
165,friend,23,n
166,follow,23,v
167,stick,23,n
168,ceremony,23,n
169,sultan,23,n
170,walk,23,n
171,arrive,23,a
172,fell,22,v
173,terrible,22,a
174,princess,22,n
175,brave,22,n
176,ready,22,a
177,finish,22,n
178,appear,22,v
179,monster,21,n
180,moro,21,n
181,rock,21,n
182,change,21,n
183,promise,21,n
184,wood,21,n
185,afraid,21,n
186,juan,21,n
187,talk,21,n
188,others,21,n
189,foot,21,n
190,angry,20,a
191,bring,20,n
192,immediately,20,r
193,year,20,n
194,larina,20,n
