,lemma,count,pos
0,king,396,n
1,would,240,n
2,come,213,v
3,little,180,a
4,princess,178,n
5,take,164,v
6,make,160,v
7,could,146,n
8,give,145,v
9,mother,144,n
10,woman,143,n
11,daughter,137,n
12,look,126,n
13,prince,126,n
14,young,126,a
15,father,124,n
16,away,123,r
17,good,119,a
18,house,110,n
19,time,107,n
20,reply,105,n
21,never,104,r
22,night,101,n
23,know,100,v
24,like,99,n
25,well,98,r
26,great,97,a
27,palace,97,n
28,soon,94,r
29,last,94,a
30,upon,93,n
31,child,93,n
32,told,91,n
33,word,87,n
34,must,87,n
35,shall,85,n
36,back,83,r
37,wife,83,n
38,pedro,83,n
39,poor,82,a
40,heard,80,n
41,home,79,n
42,queen,78,n
43,live,76,a
44,thought,75,n
45,beautiful,74,n
46,many,73,a
47,door,71,n
48,found,71,n
49,place,71,n
50,hand,71,n
51,long,71,r
52,water,70,n
53,much,70,a
54,however,69,r
55,call,67,n
56,might,66,n
57,barber,66,n
58,husband,65,n
59,left,64,n
60,tell,63,n
61,answer,62,n
62,even,61,r
63,love,60,n
64,head,58,n
65,become,58,n
66,face,57,n
67,city,57,n
68,marry,57,n
69,longstaff,57,n
70,brought,57,n
71,return,57,n
72,girl,56,n
73,three,56,n
74,rich,56,a
75,sister,56,n
76,think,55,n
77,carry,54,n
78,first,54,r
79,without,54,n
80,happen,53,v
81,ever,53,r
82,find,53,v
83,money,52,n
84,white,52,a
85,island,50,n
86,people,49,n
87,leave,49,v
88,friend,48,n
89,always,48,r
90,seem,48,n
91,thing,47,n
92,knew,47,n
93,another,47,n
94,turn,47,n
95,death,47,n
96,window,46,n
97,order,46,n
98,garden,45,n
99,life,45,n
100,fear,45,n
101,maid,45,n
102,nothing,45,n
103,saint,45,n
104,name,44,n
105,want,44,n
106,mule,44,n
107,exclaim,44,n
108,year,44,n
109,every,44,n
110,foot,43,n
111,brother,43,n
112,land,43,n
113,royal,43,n
114,knight,43,n
115,master,42,n
116,promise,42,n
117,ring,42,n
118,archbishop,42,n
119,next,42,a
120,enter,41,n
121,youth,41,n
122,forest,41,n
123,heart,41,n
124,dear,41,n
125,moor,40,n
126,enough,40,r
127,rest,40,n
128,pablo,39,n
129,grow,39,n
130,side,39,n
131,dress,38,n
132,help,38,n
133,cross,38,n
134,lovely,38,r
135,robber,38,n
136,arrive,37,a
137,wait,37,n
138,kill,37,n
139,work,37,n
140,moment,37,n
141,large,36,a
142,receive,36,n
143,horse,36,n
144,sleep,35,n
145,servant,35,n
146,fair,35,n
147,indeed,35,r
148,maria,35,n
149,hurry,35,n
150,approach,35,n
151,still,35,r
152,honoria,34,n
153,listen,34,n
154,afraid,34,n
155,pass,34,n
156,full,34,a
157,table,34,n
158,close,33,r
159,ground,33,n
160,walk,33,n
161,married,33,a
162,happy,33,a
163,speak,33,n
164,wolf,33,n
165,lose,33,v
166,keep,33,v
167,kept,33,n
168,basket,32,n
169,strong,32,a
170,suddenly,32,r
171,cause,32,n
172,voice,32,n
173,black,31,a
174,story,31,n
175,dwarf,30,n
176,pretty,30,r
177,linda_branca,30,n
178,wish,30,n
179,part,29,n
180,room,29,n
181,bird,29,n
182,smile,29,n
183,wise,29,n
