,lemma,count,pos
0,come,956,v
1,little,951,a
2,take,715,v
3,give,585,v
4,king,449,n
5,well,432,r
6,make,393,v
7,look,371,n
8,would,352,n
9,tsar,351,n
10,like,332,n
11,time,330,n
12,could,328,n
13,father,327,n
14,brother,306,n
15,princess,292,n
16,wife,284,n
17,back,284,r
18,good,283,a
19,daughter,276,n
20,away,274,r
21,begin,272,n
22,head,259,n
23,prince,254,n
24,know,251,v
25,child,246,n
26,three,243,n
27,woman,241,n
28,home,239,n
29,hand,233,n
30,shall,233,n
31,answer,231,n
32,girl,230,n
33,long,222,r
34,heard,222,n
35,never,213,r
36,horse,212,n
37,palace,208,n
38,thought,204,n
39,water,204,n
40,live,203,a
41,ivan,200,n
42,upon,198,n
43,told,197,n
44,call,196,n
45,soldier,195,n
46,soon,195,r
47,great,195,a
48,fool,195,n
49,tell,193,n
50,even,186,r
51,young,185,a
52,order,184,n
53,beautiful,184,n
54,must,179,n
55,merchant,177,n
56,nothing,176,n
57,kingdom,174,n
58,yaroslav,163,n
59,house,162,n
60,forest,161,n
61,last,161,a
62,mother,159,n
63,peasant,159,n
64,white,158,a
65,poor,156,a
66,reply,156,n
67,want,156,n
68,left,155,n
69,bova,155,n
70,city,155,n
71,tree,155,n
72,place,151,n
73,ship,149,n
74,word,148,n
75,tzar,146,n
76,night,144,n
77,dear,142,n
78,first,138,r
79,turn,137,n
80,found,137,n
81,without,133,n
82,rode,133,n
83,together,131,r
84,world,130,n
85,knight,128,n
86,thee,127,n
87,year,127,n
88,think,126,n
89,sent,125,n
90,brought,125,n
91,life,125,n
92,walk,125,n
93,people,124,n
94,fish,121,n
95,ground,120,n
96,name,120,n
97,death,118,n
98,laugh,118,n
99,sleep,117,n
100,thing,115,n
101,much,115,a
102,rich,114,a
103,open,113,a
104,still,112,r
105,every,111,n
106,return,111,n
107,foot,111,n
108,carry,111,n
109,wood,110,n
110,another,110,n
111,servant,108,n
112,grow,108,n
113,ever,108,r
114,stone,107,n
115,kill,106,n
116,sister,105,n
117,till,105,n
118,leave,105,v
119,wish,103,n
120,thou,103,n
121,everything,101,n
122,flew,101,n
123,peter,101,n
124,become,101,n
125,golden,101,a
126,round,100,n
127,fell,100,v
128,work,100,n
129,stood,98,n
130,devil,98,n
131,snow,98,n
132,threw,98,n
133,find,97,v
134,stop,97,n
135,simeon,97,n
136,army,97,n
137,town,96,n
138,bring,96,n
139,wait,96,n
140,fair,95,n
141,many,95,a
142,river,95,n
143,ready,93,a
144,near,93,n
145,listen,93,n
146,field,92,n
147,voice,92,n
148,table,91,n
149,guest,90,n
150,master,90,n
151,happen,89,v
152,drink,89,n
153,room,89,n
154,witch,88,n
155,help,87,n
156,lose,87,v
157,bear,87,n
158,love,87,n
159,along,87,n
160,money,87,n
161,enough,86,r
162,bread,86,n
163,morning,84,n
164,quite,84,r
165,whole,84,a
166,heart,83,n
167,country,82,n
168,always,82,r
169,queen,82,n
170,seize,81,n
171,instantly,81,r
172,warm,81,n
173,stand,80,n
174,pretty,78,r
175,door,78,n
176,play,77,n
177,husband,77,n
178,right,77,n
179,kind,76,n
180,rest,76,n
181,steed,75,n
182,knew,75,n
183,blue,74,n
184,sail,74,n
185,follow,74,v
186,suddenly,73,r
187,fall,72,n
188,fellow,72,n
189,watch,71,n
190,lead,71,n
191,feast,71,n
192,tear,71,n
193,also,71,r
194,road,70,n
195,show,69,n
196,behind,68,n
197,gold,68,n
198,desire,68,n
199,command,68,n
200,royal,67,n
201,window,67,n
202,sing,67,v
203,fire,67,n
204,best,67,a
205,reach,66,n
