,lemma,count,pos
0,come,859,v
1,little,808,a
2,would,523,n
3,could,498,n
4,like,480,n
5,look,463,n
6,well,451,r
7,make,392,v
8,take,388,v
9,thought,376,n
10,great,366,a
11,give,344,v
12,even,333,r
13,time,324,n
14,upon,316,n
15,beautiful,305,n
16,must,282,n
17,away,279,r
18,good,265,a
19,child,263,n
20,house,260,n
21,stood,254,n
22,long,249,r
23,never,248,r
24,woman,240,n
25,last,239,a
26,shall,239,n
27,king,237,n
28,young,234,a
29,mother,232,n
30,still,231,r
31,people,227,n
32,know,227,v
33,hand,227,n
34,every,225,n
35,place,214,n
36,back,212,r
37,girl,210,n
38,flower,210,n
39,water,207,n
40,quite,206,r
41,large,199,a
42,seem,197,n
43,tree,196,n
44,heard,193,n
45,might,192,n
46,much,192,a
47,night,190,n
48,home,190,n
49,become,188,n
50,nothing,187,n
51,head,186,n
52,thing,181,n
53,poor,180,a
54,bird,179,n
55,call,179,n
56,life,173,n
57,found,163,n
58,many,162,a
59,princess,161,n
60,think,160,n
61,world,160,n
62,till,157,n
63,whole,157,a
64,soon,156,r
65,something,154,n
66,told,153,n
67,first,151,r
68,light,149,n
69,grow,148,n
70,knew,148,n
71,daughter,145,n
72,felt,144,n
73,another,143,n
74,wife,140,n
75,begin,140,n
76,live,137,a
77,among,137,n
78,turn,137,n
79,white,132,a
80,rest,128,n
81,round,127,n
82,giant,127,n
83,always,127,r
84,carry,126,n
85,heart,126,n
86,boat,125,n
87,word,125,n
88,though,124,n
89,high,122,a
90,year,119,n
91,rise,119,n
92,tell,118,n
93,room,116,n
94,father,116,n
95,work,116,n
96,black,114,a
97,without,113,n
98,land,113,n
99,open,112,a
100,towards,112,n
101,dead,109,a
102,love,107,n
103,certainly,107,r
104,wall,106,n
105,brought,106,n
106,want,105,n
107,ever,105,r
108,wish,104,n
109,john,103,n
110,jürgen,103,n
111,appear,101,v
112,name,101,n
113,sound,101,n
114,three,100,n
115,form,100,n
116,face,99,n
117,also,99,r
118,stand,98,n
119,door,97,n
120,leaf,97,n
121,church,97,n
122,however,96,r
123,earth,96,n
124,happen,95,v
125,wind,95,n
126,window,95,n
127,remain,95,n
128,foot,95,n
129,picture,95,n
130,cold,94,n
131,together,94,r
132,kiss,94,n
133,story,93,n
134,gold,92,n
135,reply,92,n
136,close,92,r
137,horse,92,n
138,town,91,n
139,find,91,v
140,side,91,n
141,stone,90,n
142,flew,90,n
143,moment,90,n
144,green,90,a
145,garden,90,n
146,everything,90,n
147,left,89,n
148,brother,89,n
149,full,88,a
150,forth,88,n
151,wood,88,n
152,warm,88,n
153,indeed,87,r
154,around,87,n
155,enough,86,r
156,prince,86,n
157,walk,84,n
158,sleep,83,n
159,answer,83,n
