,lemma,count,pos
0,come,236,v
1,take,166,v
2,would,161,n
3,night,110,n
4,make,107,v
5,time,102,n
6,could,96,n
7,place,95,n
8,little,91,a
9,house,85,n
10,give,80,v
11,like,80,n
12,wife,79,n
13,great,79,a
14,well,75,r
15,told,73,n
16,till,71,n
17,fairy,70,n
18,woman,69,n
19,upon,67,n
20,long,67,r
21,must,67,n
22,away,66,r
23,king,64,n
24,found,64,n
25,hand,58,n
26,back,58,r
27,look,57,n
28,brother,56,n
29,water,56,n
30,young,56,a
31,much,55,a
32,home,55,n
33,call,54,n
34,heard,54,n
35,black,53,a
36,daughter,52,n
37,many,51,a
38,return,50,n
39,know,50,v
40,head,49,n
41,three,48,n
42,horse,48,n
43,father,48,n
44,never,48,r
45,every,47,n
46,turn,47,n
47,still,46,r
48,thought,46,n
49,hill,45,n
50,carry,44,n
51,shifty,44,n
52,child,43,n
53,last,43,a
54,tell,41,n
55,even,41,r
56,friend,41,n
57,seem,40,n
58,near,40,n
59,soon,40,r
60,foot,39,n
61,begin,39,n
62,might,38,n
63,immediately,38,r
64,heart,37,n
65,first,37,r
66,though,37,n
67,good,37,a
68,stranger,36,n
69,left,36,n
70,lady,36,n
71,door,35,n
72,answer,35,n
73,people,35,n
74,castle,35,n
75,fire,35,n
76,life,34,n
77,laird,34,n
78,ever,34,r
79,appear,34,v
80,round,34,n
81,without,34,n
82,sight,33,n
83,however,33,r
84,another,33,n
85,shall,32,n
86,nothing,32,n
87,stood,32,n
88,princess,32,n
89,lose,32,v
90,husband,32,n
91,stone,31,n
92,wish,31,n
93,year,30,n
94,large,30,a
95,morning,30,n
96,person,30,n
97,length,30,n
98,ghost,29,n
99,walk,29,n
100,jock,29,n
101,thing,29,n
102,rise,29,n
103,country,29,n
104,wood,29,n
105,reach,29,n
106,follow,28,v
107,brought,27,n
108,order,27,n
109,find,27,v
110,land,27,n
111,mother,26,n
112,rock,26,n
113,voice,26,n
114,leave,25,v
115,occasion,25,n
116,enter,25,n
117,among,25,n
118,witch,25,n
119,form,24,n
120,happen,24,v
121,work,24,n
122,side,24,n
123,name,24,n
124,family,24,n
125,live,24,a
126,green,24,a
127,lead,24,n
128,james,24,n
129,word,24,n
130,clashnichd,24,n
131,fisherman,23,n
132,dead,23,a
133,become,23,n
134,ship,23,n
135,observe,23,n
136,drink,23,n
137,laid,23,n
138,poor,22,a
139,catch,22,n
140,body,22,n
141,light,22,n
142,knew,22,n
143,course,22,n
144,spot,22,n
145,ground,22,n
146,fine,22,n
147,second,21,a
148,next,21,a
149,bride,21,n
150,show,21,n
151,sheep,21,n
152,stand,21,n
153,receive,21,n
154,reply,21,n
155,hour,21,n
156,rest,20,n
157,want,20,n
158,girl,20,n
159,fell,20,v
160,bonnie,20,n
161,merman,20,n
162,desire,20,n
163,sent,20,n
164,also,20,r
165,laugh,20,n
166,touch,19,n
167,spirit,19,n
168,think,19,n
169,seal,19,n
170,love,19,n
171,piece,19,n
172,saint,18,n
173,bull,18,n
174,keep,18,v
175,full,18,a
176,behind,18,n
177,thomas,18,n
178,kill,18,n
179,tale,18,n
180,married,18,a
181,arrive,18,a
182,dance,18,n
183,mind,18,n
184,mean,18,n
185,watch,18,n
186,nature,18,n
187,haunt,18,n
188,minister,18,n
189,music,18,n
190,deep,17,n
191,open,17,a
192,lord,17,n
193,master,17,n
194,sleep,17,n
195,company,17,n
196,weel,17,n
197,fill,17,n
198,dwarf,17,n
199,along,17,n
200,wind,17,n
201,face,17,n
202,small,17,a
203,thief,17,n
204,black_rogue,17,n
205,together,17,r
206,quite,17,r
207,hold,17,n
208,knight,17,n
209,belt,17,n
210,arrow,17,n
211,enough,17,r
212,towards,17,n
213,suppose,17,n
214,appearance,16,n
215,afterwards,16,n
216,account,16,n
217,lift,16,n
218,proceed,16,n
219,cast,16,n
220,power,16,n
221,always,16,r
222,room,16,n
223,hair,16,n
224,fall,16,n
225,approach,16,n
226,something,16,n
227,part,16,n
228,gentleman,16,n
229,whole,16,a
230,path,16,n
231,steed,16,n
232,sometimes,16,r
233,church,16,n
234,felt,16,n
235,dwell,16,n
236,cause,15,n
237,hoodie,15,n
238,within,15,n
239,needle,15,n
240,sound,15,n
241,bring,15,n
242,shoe,15,n
243,auld,15,n
244,scene,15,n
245,wise,15,n
246,allow,15,v
247,skin,15,n
248,death,15,n
249,mariner,15,n
250,fate,15,n
251,rather,15,r
252,close,15,r
253,several,15,a
254,town,15,n
255,story,15,n
256,right,15,n
257,scotland,15,n
258,learn,15,n
259,mountain,15,n
260,river,15,n
261,earth,15,n
262,expect,15,v
263,seize,15,n
264,hide,15,n
265,shore,15,n
266,sister,15,n
267,perceive,15,n
268,instantly,15,r
269,companion,15,n
270,travel,15,n
271,believe,14,v
272,rich,14,a
273,haunt_ship,14,n
274,mark,14,n
275,suddenly,14,r
276,baynac,14,n
277,discover,14,n
278,help,14,n
279,thee,14,n
280,bear,14,n
281,mortal,14,n
282,michael_scott,14,n
283,grow,14,n
284,thus,14,r
285,white,14,a
286,indeed,14,r
287,queen,14,n
288,james_gray,14,n
289,anything,14,n
290,whose,14,n
291,curiosity,14,n
292,cover,13,n
293,ring,13,n
294,frae,13,n
295,pass,13,n
296,shape,13,n
297,meal,13,n
298,youth,13,n
299,gallows_bird,13,n
300,whether,13,n
301,question,13,n
302,notice,13,n
303,boat,13,n
304,change,13,n
305,fellow,13,n
306,servant,13,n
307,hang,13,n
308,vessel,13,n
309,exclaim,13,n
310,chief,13,n
311,john,13,n
312,depart,13,n
313,cave,13,n
314,invisible,13,a
315,english,13,a
316,speak,13,n
317,cattle,13,n
318,since,13,n
319,wave,13,n
320,dark,13,n
321,dress,13,n
322,beautiful,13,n
323,shepherd,13,n
324,housewife,13,n
325,guide,13,n
326,yonder,13,n
327,world,13,n
328,stop,13,n
329,middle,13,n
330,hunter,13,n
331,manner,12,n
332,food,12,n
333,thou,12,n
334,bank,12,n
335,seven,12,n
336,neither,12,n
337,alone,12,r
338,enjoy,12,n
339,spoke,12,n
340,around,12,n
341,bridge,12,n
342,sword,12,n
343,bird,12,n
344,money,12,n
345,object,12,n
346,fear,12,n
347,hear,12,n
348,shoulder,12,n
349,fish,12,n
350,distance,12,n
351,certain,12,a
352,wild,12,n
353,feel,12,n
354,window,12,n
355,ready,12,a
356,need,12,n
357,purpose,11,n
358,party,11,n
359,stay,11,n
360,apple,11,n
361,number,11,n
362,attempt,11,n
363,douglas,11,n
364,moment,11,n
365,mirth,11,n
366,tide,11,n
367,rope,11,n
368,hearing,11,n
369,bonnet,11,n
370,loud,11,n
371,quickly,11,r
372,unfortunate,11,n
373,doubt,11,n
374,shear,11,n
375,shout,11,n
376,donald,11,n
377,present,11,n
378,meat,11,n
379,courage,11,n
380,matter,11,n
381,animal,11,n
382,continued,11,a
383,others,11,n
384,best,11,a
385,unhappy,11,a
386,promise,11,n
387,marry,11,n
388,kept,11,n
389,accordingly,10,r
390,march,10,n
391,tree,10,n
392,cottage,10,n
393,swell,10,n
394,columba,10,n
395,rode,10,n
396,kind,10,n
397,strange,10,n
398,often,10,r
399,ball,10,n
400,free,10,a
401,common,10,a
402,beside,10,n
403,across,10,n
404,coast,10,n
405,steal,10,n
406,warn,10,n
407,visit,10,n
408,evil,10,n
409,fast,10,n
410,coat,10,n
411,macharg,10,n
412,bade,10,n
413,scottish,10,a
414,inhabitant,10,n
415,escape,10,n
416,kenneth,10,n
417,road,10,n
418,ocean,10,n
419,sure,10,n
420,chair,10,n
421,remain,10,n
422,abbey,10,n
423,inform,10,n
424,shake,10,n
425,mention,10,n
426,enemy,10,n
427,bury,10,n
428,beneath,10,n
429,raise,10,n
430,wine,10,n
431,cross,10,n
432,held,10,n
433,hope,10,n
434,besides,10,n
435,stane,10,n
436,isle,10,n
437,reason,10,n
438,michael,10,n
439,sort,10,n
440,subject,10,n
441,serve,10,n
442,to-morrow,10,n
443,human,10,n
444,next_morning,10,v
445,seer,10,n
446,third,9,a
447,floor,9,n
448,accompany,9,n
449,exist,9,n
450,cold,9,n
451,folk,9,n
452,wilt_thou,9,n
453,farmer,9,n
454,slept,9,n
455,honest,9,n
456,honour,9,n
457,clothes,9,n
458,tire,9,n
459,search,9,n
460,treasure,9,n
461,broken,9,n
462,half,9,n
463,bottle,9,n
464,butler,9,n
465,although,9,n
466,marriage,9,n
467,grey,9,n
468,maun,9,n
469,seat,9,n
470,play,9,n
471,sandie,9,n
472,former,9,a
473,suspect,9,n
474,start,9,n
475,drown,9,n
476,wand,9,n
477,extraordinary,9,a
478,dick,9,n
479,point,9,n
480,hurry,9,n
481,force,9,n
482,wander,9,n
483,tiny,9,a
484,sail,9,n
485,minute,9,n
486,fouk,9,n
487,high,9,a
488,hame,9,n
489,gaed,9,n
490,spin,9,n
491,release,9,n
492,moor,9,n
493,mouth,9,n
494,neighbour,9,n
495,fair,9,n
496,either,9,n
497,robbery,9,n
498,pleasure,9,n
499,forth,8,n
500,usual,8,a
501,mauns,8,n
502,effect,8,n
503,hollow,8,n
504,join,8,n
505,grand-uncle,8,n
506,summer,8,n
507,four,8,n
508,fight,8,n
509,stream,8,n
510,zither,8,n
511,gang,8,n
512,doom,8,n
513,iron,8,n
514,wonder,8,n
515,business,8,n
516,darkness,8,n
517,nurse,8,n
518,everything,8,n
519,particular,8,a
520,short,8,a
521,ancient,8,n
522,save,8,v
523,many_year,8,n
524,moon,8,n
525,single,8,a
526,blue,8,n
527,conduct,8,n
528,delighted,8,a
529,sooner,8,n
530,trouble,8,n
531,sign,8,n
532,burn,8,n
533,unknown,8,a
534,roof,8,n
535,consider,8,v
536,push,8,n
537,bound,8,n
538,grave,8,n
539,race,8,n
540,satan,8,n
541,noise,8,n
542,remarkable,8,a
543,habit,8,n
544,table,8,n
545,assure,8,n
546,resolve,8,n
547,amongst,8,n
548,service,8,n
549,produce,8,n
550,listen,8,n
551,prayer,8,n
552,bridle,8,n
553,soldier,8,n
554,quarter,8,n
555,command,8,n
556,vain,8,n
557,tongue,8,n
558,danger,8,n
559,deer,8,n
560,therefore,8,r
561,twenty,8,n
562,trade,8,n
563,break,8,n
564,fiend,8,n
565,brownie,8,n
566,dear,8,n
567,hall,8,n
568,bold,8,n
569,hard,8,a
570,highland,8,n
571,late,8,r
572,consequence,8,n
573,prophecy,8,n
574,mine,8,n
575,condition,8,n
576,smile,8,n
577,send,8,n
578,almost,8,r
579,attend,8,n
580,silver,8,n
581,visible,8,a
582,inquire,7,n
583,knowe,7,n
584,increase,7,n
585,arose,7,n
586,afford,7,n
587,mony,7,n
588,alive,7,a
589,abode,7,n
590,property,7,n
591,circumstance,7,n
592,anxious,7,a
593,leaf,7,n
594,factor,7,n
595,parchment,7,n
596,note,7,n
597,share,7,n
598,horn,7,n
599,except,7,n
600,blessing,7,n
601,host,7,n
602,ride,7,n
603,harvest,7,n
604,chest,7,n
605,beggar,7,n
606,neck,7,n
607,finger,7,n
608,serpent,7,n
609,journey,7,n
610,frequently,7,r
611,least,7,a
612,past,7,n
613,bush,7,n
614,beauty,7,n
615,hole,7,n
616,amang,7,n
617,current,7,a
618,specie,7,n
619,clever,7,n
620,drop,7,n
621,troop,7,n
622,return_home,7,n
623,mile,7,n
624,glance,7,n
625,creature,7,n
626,highlander,7,n
627,ewen,7,n
628,field,7,n
629,island,7,n
630,wash,7,n
631,state,7,n
632,page,7,n
633,able,7,a
634,solway,7,n
635,forest,7,n
636,workman,7,n
637,engage,7,n
638,agree,7,n
639,bargain,7,n
640,anyone,7,n
641,tremble,7,a
642,gain,7,n
643,sorrow,7,n
644,warm,7,n
645,landlady,7,n
646,conversation,7,n
647,particularly,7,r
648,happy,7,a
649,jessie,7,n
650,term,7,n
651,mither,7,n
652,pair,7,n
653,move,7,n
654,soul,7,n
655,threw,7,n
656,fetch,7,n
657,strength,7,n
658,address,7,n
659,conjecture,7,n
660,churchyard,7,n
661,quicksand,7,n
662,succeed,7,v
663,presently,7,r
664,month,7,n
665,breath,7,n
666,deil,7,n
667,huge,6,a
668,fasten,6,n
669,destruction,6,n
670,maid,6,n
671,pocket,6,n
672,traveller,6,n
673,alexander,6,n
674,different,6,a
675,sell,6,n
676,prepared,6,a
677,shallop,6,n
678,craig-aulnaic,6,n
679,sprang,6,n
680,roll,6,n
681,howl,6,n
682,dispute,6,n
683,fiddler,6,n
684,quality,6,n
685,ower,6,n
686,thousand,6,n
687,foam,6,n
688,perhaps,6,r
689,request,6,n
690,leap,6,n
