,lemma,count,pos
0,come,500,v
1,prince,491,n
2,princess,406,n
3,take,369,v
4,give,302,v
5,king,287,n
6,young,285,a
7,time,276,n
8,make,271,v
9,would,257,n
10,look,244,n
11,brother,219,n
12,well,214,r
13,could,207,n
14,back,205,r
15,girl,191,n
16,woman,189,n
17,little,182,a
18,horse,176,n
19,poor,174,a
20,three,172,n
21,tell,168,n
22,know,166,v
23,like,166,n
24,daughter,164,n
25,father,163,n
26,hand,161,n
27,head,155,n
28,wife,152,n
29,home,147,n
30,begin,144,n
31,found,141,n
32,shall,140,n
33,told,136,n
34,child,135,n
35,good,132,a
36,upon,132,n
37,beautiful,130,n
38,find,128,v
39,thought,127,n
40,away,126,r
41,place,126,n
42,water,125,n
43,never,125,r
44,must,125,n
45,turn,124,n
46,last,124,a
47,heard,124,n
48,first,122,r
49,palace,119,n
50,night,119,n
51,long,113,r
52,return,111,n
53,without,109,n
54,great,108,a
55,even,108,r
56,golden,107,a
57,answer,106,n
58,reach,106,n
59,tsar,104,n
60,call,103,n
61,carry,102,n
62,reply,102,n
63,nothing,101,n
64,word,101,n
65,world,101,n
66,mother,100,n
67,soon,99,r
68,want,98,n
69,moment,97,n
70,love,97,n
71,tree,95,n
72,castle,94,n
73,life,92,n
74,think,91,n
75,shepherd,89,n
76,bird,87,n
77,every,85,n
78,house,85,n
79,help,84,n
80,another,84,n
81,become,84,n
82,laugh,83,n
83,much,80,a
84,sleep,79,n
85,mountain,79,n
86,still,78,r
87,hair,78,n
88,left,77,n
89,third,76,a
90,sent,76,n
91,ever,75,r
92,beggar,75,n
93,dragon,74,n
94,follow,73,v
95,thing,72,n
96,dear,72,n
97,many,72,a
98,order,70,n
99,open,70,a
100,people,70,n
101,next,69,a
102,stop,69,n
103,right,69,n
104,fire,68,n
105,foot,67,n
106,fell,67,v
107,enter,66,n
108,lead,66,n
109,bridge,65,n
110,forest,65,n
111,gold,65,n
112,guard,64,n
113,fill,64,n
114,grow,64,n
115,wood,64,n
116,live,63,a
117,knew,63,n
118,earth,62,n
119,happen,62,v
120,rich,62,a
121,wait,62,n
122,stood,62,n
123,wish,62,n
124,walk,62,n
125,maiden,61,n
126,master,61,n
127,table,61,n
128,door,61,n
129,leave,59,v
130,kill,59,n
131,twelve,59,n
132,lose,58,v
133,danilo,58,n
134,silver,58,n
135,youth,58,n
136,towards,58,n
137,fool,57,n
138,able,56,a
139,might,55,n
140,everything,55,n
141,show,54,n
142,room,54,n
143,prince_ivan,54,n
144,round,54,n
145,something,54,n
146,emperor,53,n
147,together,53,r
148,sister,53,n
149,second,53,a
150,among,53,n
151,witch,52,n
152,queen,52,n
153,work,52,n
154,marry,51,n
155,side,51,n
156,suddenly,51,r
157,cover,51,n
158,flower,50,n
159,large,50,a
160,disappear,49,n
161,instantly,49,r
162,bring,49,n
163,behind,49,n
164,sultan,49,n
165,ground,48,n
166,cross,48,n
167,bride,48,n
168,face,48,n
169,voice,48,n
170,till,47,n
171,near,47,n
172,jack,47,n
173,morning,47,n
174,promise,46,n
175,keep,46,v
176,window,46,n
177,always,46,r
178,food,46,n
179,year,46,n
180,sack,45,n
181,heart,45,n
182,tablecloth,45,n
183,road,45,n
184,remain,45,n
185,immediately,45,r
186,fear,44,n
187,magic,44,n
188,peerless_beauty,44,n
189,present,44,n
190,happy,43,a
191,mean,43,n
192,change,43,n
193,sight,42,n
194,pass,42,n
195,seem,42,n
196,lovely,42,r
197,close,42,r
198,appear,42,v
199,high,41,a
200,death,41,n
201,indeed,41,r
202,rode,40,n
203,watch,40,n
204,field,40,n
205,brought,40,n
206,rest,40,n
207,really,40,r
208,nightingale_gisar,39,n
209,remember,39,v
210,soldier,39,n
211,fall,39,n
212,name,39,n
213,wand,39,n
214,threw,39,n
215,travel,39,n
216,lake,39,n
217,though,39,n
218,wonder,38,n
219,instead,38,r
220,part,38,n
221,fish,38,n
222,dream,38,n
223,strange,37,n
224,felt,37,n
225,married,37,a
226,mosque,37,n
227,white,37,a
228,receive,37,n
229,branch,37,n
230,pigeon,37,n
231,sing,37,v
232,tear,37,n
233,apple,36,n
234,river,36,n
235,body,36,n
236,afraid,36,n
237,search,36,n
238,sure,36,n
239,enough,36,r
240,thus,35,r
241,ready,35,a
242,longer,35,n
243,kind,35,n
244,land,35,n
245,stone,35,n
246,helen,35,n
247,hour,34,n
248,city,34,n
249,escape,34,n
250,stefan,34,n
251,anything,34,n
252,black,33,a
253,quickly,33,r
254,creature,33,n
255,whose,33,n
256,dress,33,n
257,money,33,n
258,sword,33,n
259,full,33,a
260,desire,33,n
261,vassili,33,n
262,stand,32,n
263,george,32,n
264,iron,32,n
265,friend,32,n
266,alone,32,r
267,village,32,n
268,seize,32,n
269,flew,32,n
270,angel,32,n
271,garden,32,n
272,broad,32,a
273,touch,31,n
274,husband,31,n
275,light,31,n
276,pearl,31,n
277,hear,31,n
278,country,31,n
279,perhaps,31,r
280,supper,31,n
281,hold,31,n
282,quite,31,r
283,matthias,31,n
284,wonderful,30,n
285,mare,30,n
286,pull,30,n
287,bread,30,n
288,stranger,30,n
289,kiss,30,n
290,pray,30,n
291,beauty,30,n
292,mark,30,n
293,marya_morevna,30,n
294,whole,30,a
295,need,29,n
296,feather,29,n
297,rise,29,n
298,beside,29,n
299,hungry,29,n
300,send,29,n
301,arrive,29,a
302,start,29,n
303,fine,29,n
304,story,28,n
305,whisper,28,n
306,question,28,n
307,course,28,n
308,hardly,28,r
309,golden_hair,28,n
310,lord,28,n
311,kept,28,n
312,servant,28,n
313,drove,28,n
314,feel,28,n
315,meet,28,n
316,farmer,28,n
317,smile,27,n
318,kingdom,27,n
319,shoulder,27,n
320,broke,27,n
321,warm,27,n
322,snake,27,n
323,small,27,a
324,raven,27,n
325,hurry,27,n
326,best,27,a
327,also,27,r
328,neither,27,n
329,laid,26,n
330,listen,26,n
331,lift,26,n
332,hasten,26,n
333,succeed,26,v
334,sound,26,n
335,spoke,26,n
336,wing,26,v
337,sort,26,n
338,animal,25,n
339,fruit,25,n
340,kostiei,25,n
