,nation,pdi,idv,mas,uai,ltowvs,ivr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,power,royalty,hero
0,albanian,90.0,20.0,80.0,70.0,61.46095717884131,14.50892857142857,0.5949005400760793,0.5794329913084502,0.9926269579770411,0.7558353017243429,0.1912540489901435,0.7832554438072391,0.5356935600835083,0.3059872450016009,-1.0161270753767562,2.068202332657718,1.2112046564846102,-0.22372330639153723,1.223248667200062,1.1107054813264017,-0.8124528613054386,0.513046102798401,-1.5415608992140808,-0.3503027681442757,-1.1492135513655741,-1.2229967996706197,1.7366756835413246,-0.8036170469806613,2.001211856963452,2.4081390544071004,-0.8305115070647808,1.4853052731946397,-2.1471798387656262,-2.277354848223847,-1.0233371153463964,-0.7522244014086719,-0.5803486720187754,-0.48958071672238135,-1.1346704778875267,-0.7955644100171703,-0.005753343600797389,1.148159006027147,-1.1976628300771783,-0.7992343076476505,-0.8089624956282327,-0.2720044253100135,-0.6818460278974213,-1.4289217898196516,-1.22714573831689,-0.15318561068567185,-1.5809542350926846,-0.32334418506560436,-1.0608780367943282,-0.3285740470540149,-0.3060305149782678,0.6410464470996452,0.7173114376794617,0.8279597619247104,-1.1897250870074387,1.9515395301874663,-1.5129217072497674,1.3534534141594334,-1.633166856790858,1.68193678458591,0.6871219558594914,-0.8815840238472149,0.14546756718460369,0.049681299207168586,-1.6082890978049402,-0.8479854102356303,0.8148873479110647,1.4655027637400704,-0.30122111361360016
1,arabic,79.375,33.625,53.125,70.75,20.053211586901767,29.13839285714285,0.5922226210439089,1.1407419634406832,0.6246571911722378,2.2559400339510614,0.3168301860450564,1.3005688854740032,-0.5839487263508876,-1.2597754008750175,1.4571546025472149,-0.5488725222968682,-0.7873897928642892,0.36782586904404585,-1.5106982204990476,0.2730004361276176,0.3365116726744257,-1.4397260043004623,1.0091278155906773,-0.8714017019419482,0.3385398964757821,-0.012239925966241358,-0.9805071310100374,-0.570201569643495,-0.37796516634647903,-0.7357494901670004,0.2158786633339105,-0.6602069611256256,0.6429693483507165,0.6464885835901195,0.34974644982222464,0.3979906371666506,0.407484112305156,0.5535296351919874,-0.21552913735628176,1.7918888418218677,0.9887864412520827,0.4509808287386872,0.5598991812327355,-0.4117185486575549,0.9609098590564914,-0.9601645859022176,-0.33849490452909664,-1.7194760537450962,-1.729160134997746,-0.6892463668662638,-1.0829199799807858,-1.6394394878905838,-1.1592776743358026,0.4482839829067685,-0.47908685039321525,-1.4051531891559466,-1.7146369206913359,-1.1549148477878366,-1.150123842604682,-0.9238206162009674,1.0440669694678975,0.6254157663138015,-0.47520094763449,-0.962595195831992,1.2348117073233427,-0.10726795323187766,0.23317492254178945,-0.624412960378567,-0.6822718284107259,-0.501280764107097,0.5503661344315075,0.6536254337846795,-0.45161570664695977
2,armenian,85.0,22.0,50.0,88.0,60.95717884130982,25.0,0.578773702980061,0.3090645590428126,0.41111526505184115,0.9484049425359514,0.4907936909556563,0.8593271358007266,-0.3065769261873371,-0.28678583969420995,-0.23422944061925627,1.5550249049106064,0.02449190394688127,0.03311165837980669,-0.7949096647883424,0.7472468990973682,0.5623379037143036,-2.821814189218524,-0.4610845939861672,-1.34723177517549,-1.3352791737410064,-0.6563973727927052,0.7148294538328113,-0.1546646527207007,1.0785545327941353,0.8092615677259698,0.12065572481125436,1.291795587925684,-0.11492528126370923,-0.22709215861256632,-0.0342504458008886,-0.360970200508871,1.6586436703705225,-0.8976843502209683,-1.3534662377740505,0.002236618546988091,-0.17893150222589335,-0.9359882496659342,-0.3016562756710899,-0.7597221528711602,-0.2780095196219555,-0.5120061721649909,-1.4341835922947344,-1.3386095401422213,-2.2716892208467354,0.34477701398459615,-1.2963225246392036,0.8465909198207369,-0.2055602098531735,0.594055008056703,0.9528058294566079,0.8516851217241658,-1.1942716101866468,0.9826621097252134,-1.5524942505490569,-1.2325769636317787,0.25888012026775126,1.009162591932836,-0.8525665376185935,-0.3289340641775464,-0.2701439665343344,-0.12306445990168435,0.47786059953691556,-0.7299243970710921,-0.8508131730394619,-1.4038467452571186,0.5666704501301736,0.623198243538763,0.09132520413287334
3,bulgarian,70.0,30.0,40.0,85.0,69.0176322418136,15.848214285714283,0.5902872721324876,1.2233483543519341,1.1804117027007444,1.225373748439694,0.45673589238112017,1.7208357463448143,-0.5330460986354282,1.8158868940204171,0.23501440201642812,-0.5058749771663611,0.24963141710680517,-0.8580985418209035,-0.18561293864701217,1.3185866774511572,-0.518825473329082,-0.3611128435847969,-0.7847549296292675,0.019792713110784777,-0.38555111336054737,1.1820229992533247,0.45394982240661874,0.07154971285553116,1.386082641911541,1.3396994436515621,-0.5306841699588032,1.6104402446247021,-1.0679860600139879,-0.35082933445055353,-1.445921138205759,-0.8819781594731477,-1.5135396692199876,-1.1338247628687539,-0.3137719657233584,0.18890492409468934,0.6728216718370755,-1.000569833004519,0.3098430329825835,0.0674484926968548,-2.033876950969782,-0.13680790695930253,0.0418369729591405,1.2723737703696818,0.6090371102211742,0.5587753348293896,-0.29440814598195997,2.258148001007567,1.226320691373316,-0.833570146710585,-0.46256491456200294,2.656550338034783,-0.12624006006757402,0.3265734728762281,-0.3748769682101449,0.18185033122053934,0.9491122769829811,-0.35246491507228983,-0.5927099419821792,-0.01847167032968206,-1.0470441256806755,0.5972800344923023,-0.05524309168136199,-1.1047830263626823,-0.22030868325901765,0.2860719952217518,0.014524968186724897,0.3458982262055354,-0.3285910602553399
4,chinese,58.0,17.0,45.0,69.0,92.94710327455918,49.10714285714285,0.5772079105583723,-1.3143583536429255,-1.1961627137999504,-0.902250375270254,0.2723545423885217,-0.9383513002740838,-0.7934317596888677,-0.18395674728201458,-0.4399097905041672,0.5434308675993709,-0.8391891383391469,0.3967949515636372,-0.7247825469104,-0.15824168974325273,-0.8780781146579599,-0.2585810588507496,1.173534932510338,-0.7575423443473646,-0.6060388835770082,-0.5953057809845881,0.7473720059223641,-0.6610254793442918,-0.9519245898084152,-0.14264947177888038,0.13405019970337584,-0.35536798486682203,-0.24759939007123333,-0.2218383340427264,-0.2231037552548005,0.5268113885269674,-0.15189108457301567,-0.4790236204299463,-0.6907492566374593,-0.34175225660721914,0.7013794792969342,-0.8904027294961888,-0.4500342560974239,-0.3974219413508936,0.3333959078718011,-0.09133409193050308,-1.6473963830611873,-0.9635978003328488,0.35372827056090156,-1.29962296909393,-0.3815211687339946,-0.6002406096277648,-0.4402116355673612,0.7640272733032246,-0.791452571877867,-0.6594081346382185,0.019125722033957335,-0.5446721257876859,0.5299874140867777,-0.117876982093395,2.3888572627898608,-0.775198333994736,0.5746021438300124,0.23774809806529337,-0.21635281124694974,1.5828475576845622,-0.1176662351595276,-0.6976365894632006,-0.8394773327266508,0.3107042427822114,-0.836846668246243,-0.6774142982713245,-0.26869461485329693
5,croatian,73.0,33.0,40.0,80.0,58.43828715365239,33.25892857142857,0.591677421566298,0.32759284842978253,0.5233443673367568,-0.24387330116713027,0.11068515169036752,0.6345132093686129,0.603562489946714,0.09980229390276768,-0.47603964107235075,-0.7571029450668373,0.680723133930676,0.028806173076529114,0.26600215801862226,0.4162886326225481,1.2137160470257953,0.7773475114947891,-0.37776631524376714,0.9257868625071913,0.5548865300364011,-0.8660644458566101,-0.14415139875559757,0.5481563798598528,0.5076377670018296,1.013892732224979,-1.1890998562795592,-0.8630804315549235,-0.6063328346392586,-0.6221344058928893,-0.2581639100026336,-0.19288750502300356,0.5551709810164849,-0.7948416097405949,0.5397240135886897,-1.241179494154752,0.35965108880978836,0.44706745137341886,-1.200311537639076,1.2483224779468494,-0.7775612268723819,0.5911192524742878,0.7707263409898443,1.1670365143988788,0.11248903378301081,0.5510889799915397,2.0022287214054737,0.7060635326038402,1.6175047178837583,-1.2722805667836357,-0.2999764241624544,-0.10907613020709311,0.16874022987201506,1.0215201526541446,0.5047704268710428,-1.0112371664684356,-1.053920901120954,-0.8101015116370763,-0.8003972211351476,-1.3663164856758734,-1.1804652439603804,-0.5248669726369857,-0.44674916124227665,-0.4752921913954171,0.21716610817191703,0.38677224662352994,-0.6223795460239333,-0.0997705753246905,-0.04508049351149371
6,danish,18.0,74.0,16.0,23.0,34.76070528967254,69.64285714285714,0.6019217239617106,-0.478956553619956,-1.1495582747617137,-0.4081580607436959,1.8931278874010398,-1.1961096406620544,-1.4454941614633727,0.5814388359465095,1.6956733043639463,0.2273735021126199,0.8033232764561,1.7420229276990906,0.3627967045883448,0.5344857126670045,0.5461248144276393,1.1848002181770814,-0.09786756868347143,-0.16411082819774747,0.3174271794443407,1.3437836378739576,0.0388539668770728,-0.21026926805736285,-1.334350065975138,-1.120526992089744,-0.7202251574669227,-0.7062507421208161,-0.1437323708882497,0.7700479681191863,-1.2216227538764148,-0.7078612448639551,-1.250519444444341,-1.2429029350637304,0.8636167814674561,0.49693324313217313,-0.4990271503339758,0.7703643419632267,0.38022949962159974,1.192007658989453,-0.7384470774685236,-0.07566820013498175,0.7547416721966892,1.0081479956631783,1.3058367483980178,0.6293830515479676,-0.014171211400879158,-0.9841844354963116,-0.29900561894508787,-0.7743888332267183,0.2365194831817295,-0.8415361515455089,-0.5635195480511868,-1.264580885916569,0.9569856808944877,-0.9745080562167352,0.9919979271820571,-0.8365575312920469,2.796609975860307,0.8455006280050923,-0.043930174055943426,-0.36589124541911167,-0.6246636021972402,1.3394419001448625,0.7002268763626501,2.289790040301613,-0.7957192819921635,-0.9659770149138344,-0.32826571244030434
7,dutch,51.5,77.5,34.0,73.5,74.43324937027708,62.50000000000001,0.5609329152040299,-3.2391454420669916,-3.4438107604172665,-2.954091576501758,-1.0822457823795681,-3.0342562884941726,-2.824960614991029,2.399309797288725,0.20564171056615418,0.2605694571708347,-1.8991267327027295,-0.538363682844121,-0.21252037736801513,-2.290885199325041,-2.2080683756869397,0.10027643566654598,1.9217164193214218,0.09919569246522407,-1.2588646356478919,1.36712060851556,0.06997032626613463,0.19037990329717594,-2.497865136407954,-0.5919689311650683,1.1005237997341317,0.386227588435863,0.4589606929791848,1.3279924483337897,-0.7947855225959135,-0.7371239813988391,0.07746471594725336,-1.4576882077387514,0.29961016076035346,-0.5738555145996821,2.5797024883508315,-0.8006847316394666,2.710959766489351,0.6784675209482642,0.5397528055118361,-0.5283216703017241,0.6161103074408781,-0.11388018015719957,0.8141890405507167,-2.354451565334595,1.5230100882952364,0.7531795030069645,0.7252223916502216,-1.0184692369334873,0.3966117056239498,0.7074637386413866,0.33472411884526826,-1.7919778045675734,1.893712889872634,0.1970996422524293,0.4500658400308107,-0.833546508346488,1.457455855450881,-0.003210713893800087,1.5683942351106845,0.004321111644574133,-0.9688897165891824,-1.3057495933719825,-1.20854714383441,2.530741492009589,-1.594558401133289,-1.7358244431091747,-0.006729054656272756
8,english,47.66666666666666,56.0,55.888888888888886,49.22222222222222,24.95689896445564,69.67162698412697,0.571910473086864,-0.1777080928457637,-0.030564166785972423,0.48695495611025685,-1.2891291508744531,-0.0318527174913551,0.07611902663854021,-0.5925677804964415,-0.40058143706945865,-0.9857219001359344,-0.4814656801022671,-1.22771580834784,0.20973441833245962,-0.9968547320906315,-0.6556297938997102,0.40999235235150183,-0.39141796099567755,1.0831498222854117,-0.7546991950642103,0.14283055780878107,-0.6936461974428636,0.2861913465104315,-0.2955786643864291,-0.8377886780606637,-0.30119559168525106,0.7771489470992846,-0.3951547555443638,0.05009614208451223,-0.7334280970590027,-0.2137822942692988,-0.9210409137040565,-0.8425266621531554,0.2816095804660846,-1.3074208456785488,-1.0134369657991968,-0.2345142479190273,0.027966222749726374,0.3542965746071982,-0.1469077336731063,0.8293020459314817,-0.5242818413577957,1.412978995291957,0.3091884482274799,1.268578425848318,0.8809879668083384,1.0014380559769511,1.118186259910216,-0.8692042286005276,0.14762986794435173,0.6762701425868082,0.4680783234697948,0.25300455982008846,0.822982022378317,-0.23880441872415115,-0.31331509016396225,-0.8519014809477062,0.42574506952623375,1.7261275972204344,-0.26720043833196266,-0.8536591598277345,-0.45826381885969447,1.0203839004941488,1.4141492777922942,0.3495912738654663,-1.1661152846677922,-1.205888157079079,-0.3418288428806183
9,estonian,40.0,60.0,30.0,60.0,82.11586901763224,16.294642857142854,0.597496180031888,-0.19708253464562664,-0.2561491870643708,-0.8558449549462017,-1.1835734824882647,0.5410677870267151,0.18332321989284783,-0.3202909139748831,0.13373648468990487,-0.7841482562840342,0.9887280590456585,1.375929671078877,0.3197451838376021,0.6006258164022658,1.0822839780741853,-0.4148735412427069,0.8316863815174796,-0.06658883747481249,2.2832107665114116,1.6922005678530814,-0.5884515690448076,-0.2025376191559012,-0.49203821962571315,-1.4218646597625535,0.7432108763196033,0.5445404961514076,0.26530627212108476,0.5647920636944671,-0.22982010428376176,0.1045353826018195,-0.6272882630703677,-0.05295169152225887,1.3493560697873632,2.358853519997448,-0.6061101171114486,2.15833072219672,1.7252842694665076,1.5671284370465677,0.7602228862132903,-0.7515385126889568,1.808312234110531,0.8683000189258597,1.351239890634115,-0.3449459593076195,1.5619285838720016,0.5455140404548319,0.5669358355485851,0.3488426843930606,-0.9035960285181914,0.29418109855486263,0.7322989001672949,-0.698103099444324,0.16133488081672648,1.7716044438437615,1.1519524575825961,0.7112664109614745,0.40259469902783973,-1.0292536469364943,0.22456722113835018,-1.217079669076723,-0.5580392725731103,-0.3888177738024638,-0.7018126986523567,0.8992777621427167,-0.5480758431709908,-0.8354600874903193,-0.4249386159825972
