lemma,japanese,serbian,german,french,north_american_native,brazilian,armenian,english,russian,greek,danish,canadian_native,ukrainian,indian,norwegian,welsh,scandinavian,polish,czechoslovak,scottish,celtic,portuguese,arabic,croatian,estonian,dutch,italian,nigerian,albanian,maori,nordic,irish,hungarian,south_african,slavic,australian_ethnic,chinese,tanzanian,swedish,icelandic,philippine,hawaiian,jewish,romanian,korean,turkish,finnish,belgian,spanish,cataloanian,bulgarian,bukovinian,new_zealand_native,sami,pakistani,lithuanian,zimbabwe,diff
king,0.004190890975203895,0.0,0.011965189232948795,0.014382836627126597,0.0012210846305578562,0.0,0.0,0.007965820838906746,0.0076791517017273814,0.009418873289497068,0.005483191819170349,0.0,0.0,0.017328004209840504,0.0,0.0,0.003852593592015215,0.0,0.01451733260972797,0.0037220122128525735,0.0,0.0,0.0,0.0,0.0,0.0,0.018481620039037087,0.0,0.0,0.0,0.006140513010083585,0.01373183893731839,0.0,0.0,0.008203984792613556,0.0,0.00346316162494765,0.0,0.0,0.0,0.003698971013518058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
would,0.007251884873759681,0.0,0.008856506780004048,0.011076311970055763,0.007761999504734905,0.0,0.0,0.010161911797001337,0.006020181289550197,0.0077305846810023105,0.009439418827938828,0.0,0.0,0.010123664064751356,0.0,0.0,0.008501714973096867,0.0,0.008954616376093887,0.009363186972957255,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.011397942209352474,0.01007887090078871,0.0,0.0,0.007346425406626076,0.015889682206355872,0.00992236074868722,0.0,0.0,0.0,0.008070482211312126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
princess,0.0038827372270271382,0.0,0.0025419955474600283,0.012920545194626624,0.0,0.0,0.0,0.0020363752520513485,0.004994014024285958,0.0021325750844144306,0.0060615875806862085,0.0,0.0,0.0048112462881986645,0.0,0.0,0.0026171627355040072,0.0,0.00471474119801913,0.0018610061064262867,0.0,0.0,0.0,0.0,0.0,0.0,0.003232758620689655,0.0,0.0,0.0,0.0008214733123857638,0.004317144043171441,0.0,0.0,0.011605637023697225,0.0,0.0013691569214909314,0.0,0.0,0.0,0.001479588405407223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
could,0.006183618546746924,0.0,0.007860756931795183,0.009122952519178934,0.005866329658694037,0.0,0.0,0.006847810896604045,0.005609714383444502,0.006797583081570997,0.01149850773893529,0.0,0.0,0.0063899364765138515,0.0,0.0,0.008095323243981338,0.0,0.005698392239332474,0.00558301831927886,0.0,0.0,0.0,0.0,0.0,0.0,0.0050422901756668834,0.0,0.0,0.0,0.008707617111289097,0.009464508094645082,0.0,0.0,0.005917159763313609,0.007559848803023939,0.006990754163847814,0.0,0.0,0.0,0.008810276414015737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
mother,0.004170347391992111,0.0,0.0043958712811171825,0.001724194375634296,0.0023653177808708125,0.0,0.0,0.004272395136656751,0.002719343252950231,0.003309934245601564,0.0022673113851421696,0.0,0.0,0.0033202611103454326,0.0,0.0,0.0037713152461921096,0.0,0.007597856319109965,0.001512067461471358,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.0,0.0023822726059187153,0.0037027812370278123,0.0,0.0,0.002858531286624932,0.006649867002659947,0.0035920234528526787,0.0,0.0,0.0,0.0032954469029524516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
woman,0.004293608891262814,0.0,0.0045415907710989675,0.0029791459781529296,0.007113031449333527,0.0,0.0,0.005689872027790533,0.004121771848811356,0.0018882175226586104,0.0020590889109964603,0.0,0.0,0.0034956711312693423,0.0,0.0,0.0039013605995090786,0.0,0.004070280170951767,0.004012794416981681,0.0,0.0,0.0,0.0,0.0,0.0,0.0054895901106050745,0.0,0.0,0.0,0.0026081777668248004,0.004865089248650893,0.0,0.0,0.005402624131721122,0.009589808203835924,0.0031571147836732066,0.0,0.0,0.0,0.006389131750622099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
daughter,0.00265012223432011,0.0,0.004412062335559603,0.0026408546766044285,0.0020749899666123012,0.0,0.0,0.0027151670027351317,0.0047203694202154955,0.0017549315798827084,0.00263748467251232,0.0,0.0,0.003257614674301179,0.0,0.0,0.0023570720288700686,0.0,0.004409470185197748,0.003024134922942716,0.0,0.0,0.0,0.0,0.0,0.0,0.005652244632400781,0.0,0.0,0.0,0.001293820467007578,0.0035699460356994604,0.0,0.0,0.0046879913100648886,0.0011899762004759906,0.0031571147836732066,0.0,0.0,0.0,0.0016813504606900261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
look,0.007375146373030384,0.0,0.007285974499089253,0.005248971485317066,0.007557062224081838,0.0,0.0,0.0065683084110283695,0.006345134256883872,0.006153367691487471,0.007380329916942369,0.0,0.0,0.0044854848207685465,0.0,0.0,0.007526374823219598,0.0,0.006783800284919612,0.0033149171270718232,0.0,0.0,0.0,0.0,0.0,0.0,0.003720722186076773,0.0,0.0,0.0,0.0077013123036165365,0.007405562474055625,0.0,0.0,0.006974816339364834,0.007349853002939942,0.005605489513868754,0.0,0.0,0.0,0.006523639787477302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
prince,0.0035129527292150297,0.0,0.0019186399514268366,0.008173554350317011,0.0001024686403265334,0.0,0.0,0.002056339715306754,0.004344108089618608,0.002998933712457793,0.004557758600744974,0.0,0.0,0.0090962625136256,0.0,0.0,0.00139798754815742,0.0,0.00559663523505868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006587508132726089,0.0,0.0,0.0,0.00047234715462181424,0.006359485263594852,0.0,0.0,0.014035388617328417,0.0,0.0014496955639315744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
father,0.005115352219734166,0.0,0.005083991094920057,0.0026190294313432347,0.0031765278501225355,0.0,0.0,0.003014633951566212,0.005592611595690098,0.002910076417273858,0.0032158804340281792,0.0,0.0,0.004222369789382682,0.0,0.0,0.0018856576230960548,0.0,0.0035954141510073944,0.00279150915963943,0.0,0.0,0.0,0.0,0.0,0.0,0.004025699414443721,0.0,0.0,0.0,0.002813546094921241,0.003603154836031548,0.0,0.0,0.004659405997198639,0.0009099818003639928,0.005090042202248639,0.0,0.0,0.0,0.004640527271504473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726053540847923
