,X0,X1,Nation,language_family
0,8.142349,16.944231,Japanese,east_asia
1,32.945686,26.147491,Serbian,slavic
2,-2.834692,-5.633036,German,germanic
3,30.6792,7.2379923,French,italic
4,-30.44439,24.300762,North_American_Native,native_american
5,-13.078228,33.098816,Brazilian,italic
6,-5.3181276,11.618745,Armenian,armenic
7,-12.543091,-6.0736876,North_American_Native,native_american
8,-12.5512495,25.04626,North_American_Native,native_american
9,-4.7106576,-29.380407,English,germanic
10,-4.2381144,10.226716,English,germanic
11,11.334072,-21.16033,Russian,slavic
12,6.6813984,-7.777048,Greek,hellenic
13,-2.701632,-16.157969,German,germanic
14,10.723508,1.6655912,Greek,hellenic
15,-28.395054,25.347303,North_American_Native,native_american
16,32.366074,18.346771,Danish,germanic
17,-16.40416,16.401508,Canadian_Native,native_cana
18,-16.692444,-22.898598,German,germanic
19,14.966834,-24.215,Greek,hellenic
20,24.997452,15.734256,Ukrainian,slavic
21,-19.524479,32.038544,North_American_Native,native_american
22,23.941359,-5.4874363,Indian,hindustani
23,-3.7549202,11.736133,English,germanic
24,19.500156,-18.839434,German,germanic
25,-22.763474,15.158908,Canadian_Native,native_cana
26,-11.043031,-32.011276,Norwegian,germanic
27,-24.27786,-27.41237,Greek,hellenic
28,9.769515,-11.866213,Welsh,celtic
29,-2.3789363,-14.569951,Scandinavian,germanic
30,24.223576,-26.901154,Norwegian,germanic
31,-17.650694,-16.20988,Polish,slavic
32,8.275993,20.969828,Czechoslovak,slavic
33,15.017731,-10.711752,Greek,hellenic
34,7.732087,5.161494,Scottish,celtic
35,-1.100591,25.994797,Danish,germanic
36,-24.39338,-28.771763,Greek,hellenic
37,-27.292753,20.073824,North_American_Native,native_american
38,15.853223,-35.23944,Russian,slavic
39,-30.389812,25.17532,North_American_Native,native_american
40,-7.2651896,23.888565,Celtic,celtic
41,-34.32514,12.758772,North_American_Native,native_american
42,28.601377,13.9253,Portuguese,italic
43,-33.40137,2.0645306,Greek,hellenic
44,-2.6937668,-18.046143,German,germanic
45,-28.979568,-13.921368,Scandinavian,germanic
46,-19.410494,19.629025,North_American_Native,native_american
47,-3.8600745,-18.189907,Russian,slavic
48,-0.37781176,27.84669,Danish,germanic
49,8.216371,-5.4245334,Greek,hellenic
50,-28.65843,-8.184617,Arabic,semitic
51,-27.44953,-19.486488,Croatian,slavic
52,-24.622337,17.982292,Canadian_Native,native_cana
53,-15.961613,6.675249,Danish,germanic
54,2.8157046,-1.835768,French,italic
55,12.238714,-5.029548,French,italic
56,-18.493326,16.882906,North_American_Native,native_american
57,-1.1476762,26.294676,North_American_Native,native_american
58,18.886465,33.46009,Estonian,uralic
59,-15.549761,-35.608044,Dutch,germanic
60,33.67518,-17.570656,Czechoslovak,slavic
61,6.0563025,12.765367,English,germanic
62,22.910759,20.881346,Italian,italic
63,-2.8469393,1.908941,French,italic
64,20.367306,-6.8343344,North_American_Native,native_american
