,verb,present,cogmech,insight,time,relativ,funct,negate,quant,social,certain,affect,posemo,money,auxverb,future,discrep,humans,negemo,sad,percept,feel,family,bio,health,body,incl,motion,space,tentat,home,past,ingest,relig,number,achieve,adverb,work,friend,cause,anger,hear,pronoun,ipron,excl,leisure,preps,conj,death,inhib,see,ppron,i,anx,nonfl,sexual,swear,filler,assent,you,they
sid0,34,26,30,5,14,41,23,2,8,36,10,53,40,6,4,4,5,11,13,2,6,1,8,8,4,3,4,17,9,5,4,4,1,11,5,7,4,2,2,3,11,4,1,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sid1,115,75,104,38,44,113,65,7,12,96,12,129,75,11,12,6,11,20,54,19,37,17,14,25,1,19,15,57,10,10,13,32,2,15,10,20,12,11,5,8,16,14,9,8,2,7,3,5,3,3,7,1,1,11,2,3,1,0,0,0,0
sid2,20,11,17,2,8,21,18,1,2,16,1,30,18,1,3,2,4,3,12,6,7,5,4,6,0,4,3,8,3,1,3,6,2,1,0,7,8,5,2,2,3,1,3,3,0,3,1,4,0,3,1,0,0,0,3,0,0,0,0,0,0
sid3,199,99,287,62,141,330,234,14,38,155,34,201,130,13,58,38,51,29,71,16,90,23,34,70,10,40,10,93,88,45,26,49,15,9,25,131,61,38,11,33,27,24,20,20,11,25,30,11,1,37,37,0,0,12,13,7,0,3,0,0,0
sid4,219,141,210,42,137,276,166,5,25,131,19,131,84,3,40,26,40,37,47,5,60,35,8,62,3,50,44,69,70,20,6,39,7,1,13,13,47,4,5,21,26,17,11,10,5,46,26,6,15,14,6,1,1,13,0,4,0,4,0,0,0
sid5,70,32,89,22,38,126,97,12,18,46,15,74,54,1,20,14,18,0,20,3,17,4,2,11,3,3,12,22,58,9,2,19,6,10,2,26,23,23,5,3,13,4,8,6,8,3,26,4,5,7,8,2,2,2,5,1,1,1,1,0,0
sid6,45,42,12,3,4,25,8,2,1,34,2,16,11,0,1,0,1,10,5,0,1,0,0,36,0,12,1,13,8,0,0,2,24,1,0,2,3,2,0,0,3,0,0,0,1,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0
sid7,23,13,20,5,17,70,16,3,4,28,4,15,7,0,2,2,1,2,8,1,26,4,7,14,3,9,2,21,30,2,13,8,1,1,1,2,2,1,2,2,1,14,1,1,0,1,4,1,1,3,7,0,0,3,0,1,0,0,0,0,0
sid8,167,98,152,40,82,198,120,12,15,177,24,86,49,5,35,27,37,54,37,18,61,25,54,56,5,26,10,67,47,17,9,35,25,1,8,16,33,14,1,11,4,20,5,5,9,16,21,6,7,15,17,0,0,11,5,1,0,3,1,0,0
sid9,92,47,77,9,35,86,60,4,5,61,11,39,31,9,25,16,32,5,8,2,20,8,20,19,3,15,14,29,22,5,8,20,1,0,4,15,14,3,0,6,2,2,4,4,1,2,6,1,0,4,10,0,0,1,3,0,0,3,0,0,0
sid10,7,6,7,1,1,26,16,1,11,9,1,21,4,8,1,1,1,5,17,14,9,7,4,26,0,17,0,6,18,1,65,0,9,0,1,0,0,0,0,3,0,0,0,0,1,1,3,0,11,0,9,0,0,3,0,14,14,0,0,0,0
sid11,49,32,56,17,34,76,59,3,8,87,7,86,61,4,9,2,8,23,25,9,38,13,35,14,3,7,4,11,32,10,9,12,3,7,1,13,17,2,3,2,10,3,14,6,1,0,8,4,6,10,17,8,0,5,1,1,0,2,0,8,0
sid12,8,3,12,3,3,15,8,0,0,3,0,7,4,0,3,2,2,0,3,0,2,1,0,4,0,4,1,6,6,2,0,2,0,0,0,5,3,2,1,3,2,1,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0
sid13,15,13,21,3,5,17,16,0,4,7,3,24,24,7,2,1,5,0,0,0,6,0,0,0,0,0,8,9,5,3,4,1,0,16,1,0,4,0,1,2,0,6,3,1,0,6,2,3,0,0,0,2,0,0,0,0,0,2,0,2,0
sid14,6,4,5,3,2,4,3,1,0,1,0,7,3,1,0,0,0,0,4,1,1,1,0,4,0,3,0,2,0,0,1,2,1,2,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0
