,topic,nation,title,summary
0,0,arabic,The Forty Thieves,"the robbery took place in a cave in the outskirts of the town of london . he robbed ten mules, a jar full of gold, and hid them with fagots . the thief sat down with a dagger and poured it into the jar ."
1,0,french,Little Thumb,"little Thumb, ten years old, had seven children, all aged seven . he snored his wife, who was frightened, and said he would kill her . she said: 'you are very tired and very hungry, and ... you are very inhuman'"
2,0,arabic,Aladdin and the Wonderful Lamp,"the vizir's mother, who was frightened, said: “I am my uncle, and I am my brother” . he said, “you must have a sacrament, and you will be able to eat it.”the genie said, 'i am a good man, and i am the best man in the world.'"
3,0,portuguese,The Cobbler of Burgos,the cobbler was so poor that he had not even smiled for many years . he was sent to prison until such time as the Pope should feel disposed to pardon him . the priests admonished him for having dared to frighten a lady whose anxiety respecting her deceased husband .
4,0,north_american_native,Skagédi And The Man-Eater,"the man-eater went to the house and found a woman standing on a log . he said, “I am hungry, maybe I had better go down to that man’s house, he will go.” he sang, “HE-GH-YA” and jumped, but he didn’t go where he intended ."
5,0,english,The Beginning of the Armadillos,"Stickly-Prickly swam into the turbid amazon with his paw and paw . he drew in his head and feet into his shell with a scoop . his mother, Painted Jaguar, said he was a 'tortoise' and 'can’t curl, but can’t swim'"
6,0,maori,Tawhaki,"he climbed the fourth sky-land and climbed up to the earth . he was unable to find a way of reaching his wife . the eel-king sprang from the ground and swung with his weight . now he has grown in magic, so he can never die ."
7,0,north_american_native,The Fire-Plume,"wassamo's father-in-law was a magician and guardian of the sand-spirit . he said he had never been a member of the tribe, but he did not . his wife, who was buried in the woods, said: 'i am a sailor, and i'm a man' ."
8,0,north_american_native,Robert Lockwood's Fate,"general putnam was stationed at reading, Connecticut, with ill-fed, unpaid troops . he asked her if she knew any brave fellow who could be trusted to take a false message into the British lines that would avert an impending attack . the girl slipped out of the house, crossed a pasture, entered a ravine, and in a field beyond reached a cattle shelter ."
9,0,scottish,The Twin Brothers,"the king said: 'you must go to my father, and if you are the conqueror you shall take your life.' he said: ‘I have a negro who will fight with you to-morrow, and when you have killed it, you will take your daughter to me.'"
10,1,french,The Countryman and the Serpent,"the snake scarce felt the genial heatBefore his heart with native malice beat . he raised his head, thrust out his tongue, and at his benefactor sprung ."
11,1,nordic,Thor and Hymer,"ger's great kettle was lost, and there was no meat for the guests . Thor shook his great hammer in anger and vowed to bring back the kettle . but no one could tell him where to find it ."
