,X1,X2,Nation,language_family
0,-17.040495,6.3389463,Japanese,East_Asia
1,-1.613154,23.311752,Serbian,Slavic
2,-7.5506144,-11.772786,German,Germanic
3,28.067266,30.26233,French,Italic
4,-18.574621,33.876457,North_American_Native,Native_American
5,-6.010457,29.644852,Brazilian,Italic
6,-22.271301,-20.19604,Armenian,Armenic
7,-5.448994,-8.747989,North_American_Native,Native_American
8,-15.518824,4.504323,North_American_Native,Native_American
9,-3.6273453,-28.77757,English,Germanic
10,-15.61611,-9.73962,English,Germanic
11,24.572065,-29.5707,Russian,Slavic
12,-0.9401457,1.4882026,Greek,Hellenic
13,8.863904,-22.674429,German,Germanic
14,4.232153,-5.6847596,Greek,Hellenic
15,-16.10321,35.616314,North_American_Native,Native_American
16,-32.830315,3.1435993,Danish,Germanic
17,-20.130413,17.766788,Canadian_Native,Native_Cana
18,26.572205,-3.9748535,German,Germanic
19,28.345032,-4.6451607,Greek,Hellenic
20,-25.241455,-7.2974453,Ukrainian,Slavic
21,18.753098,-4.8846555,North_American_Native,Native_American
22,21.192959,-5.9187274,Indian,Hindustani
23,-13.264935,-1.3266561,English,Germanic
24,-22.45433,7.243844,German,Germanic
25,-18.24901,29.235588,Canadian_Native,Native_Cana
26,20.518202,-25.295599,Norwegian,Germanic
27,7.066322,29.497957,Greek,Hellenic
28,17.334846,0.5884279,Welsh,Celtic
29,8.664921,-21.805838,Scandinavian,Germanic
30,14.977307,-35.024483,Norwegian,Germanic
31,3.0892344,16.778814,Polish,Slavic
32,-1.6997626,-19.095814,Czechoslovak,Slavic
33,13.874095,-6.970223,Greek,Hellenic
34,-4.9074883,-4.494604,Scottish,Celtic
35,-7.5509324,-26.523844,Danish,Germanic
36,8.112695,29.892277,Greek,Hellenic
37,-16.634222,30.748356,North_American_Native,Native_American
38,32.96552,-12.859323,Russian,Slavic
39,-18.731834,34.42388,North_American_Native,Native_American
40,33.190926,5.74073,Celtic,Celtic
41,-25.343304,23.143097,North_American_Native,Native_American
42,-28.970673,-0.3129294,Portuguese,Italic
43,-13.303521,15.555309,Greek,Hellenic
44,12.046329,-26.749832,German,Germanic
45,26.655886,17.895771,Scandinavian,Germanic
46,-12.615378,29.347975,North_American_Native,Native_American
47,9.536993,-24.511723,Russian,Slavic
48,25.291409,11.584854,Danish,Germanic
49,-1.894745,-9.099293,Greek,Hellenic
50,10.017188,18.308172,Arabic,Semitic
51,-13.560315,14.112469,Croatian,Slavic
52,-16.37031,26.950172,Canadian_Native,Native_Cana
53,25.530222,17.038359,Danish,Germanic
54,-0.46943912,-21.73061,French,Italic
55,7.117071,-9.662554,French,Italic
56,-8.251407,21.050447,North_American_Native,Native_American
57,-7.589713,-26.570848,North_American_Native,Native_American
58,-10.18713,-30.00678,Estonian,Uralic
59,0.6871591,36.870335,Dutch,Germanic
60,-31.888487,-25.387936,Czechoslovak,Slavic
61,-6.261014,-13.274788,English,Germanic
62,-22.756392,-12.799753,Italian,Italic
63,2.3353522,5.0854406,French,Italic
64,-7.9041944,-14.694071,North_American_Native,Native_American
65,-14.13357,-2.993433,Japanese,East_Asia
66,-24.010735,4.564372,Nigerian,Chadic
67,22.747175,18.976162,Scandinavian,Germanic
68,13.150396,-31.627768,Norwegian,Germanic
69,1.3158371,-8.156485,Greek,Hellenic
70,28.964628,21.636662,German,Germanic
71,6.093863,-6.1180463,Greek,Hellenic
72,0.83229333,-6.855919,Greek,Hellenic
73,-27.417833,-6.709323,Albanian,Albanian
74,-18.116243,13.977902,Maori,Austronesian
75,0.056290526,29.38388,Dutch,Germanic
76,0.24796109,23.66731,North_American_Native,Native_American
77,-3.516889,29.745668,English,Germanic
78,3.3460643,-9.731769,Greek,Hellenic
79,31.64594,12.314723,Nordic,Germanic
80,-35.556202,14.959725,Indian,Hindustani
81,1.1804538,-23.282763,German,Germanic
82,20.275629,17.423649,Nordic,Germanic
83,7.383065,-23.621988,Italian,Italic
84,21.58536,16.24928,Danish,Germanic
85,-22.693197,0.2649622,Estonian,Uralic
86,2.0450885,38.201492,Nordic,Germanic
87,-20.573584,8.108751,Nigerian,Chadic
88,16.64033,-5.745389,German,Germanic
89,-4.7708807,10.861979,North_American_Native,Native_American
90,-6.5918274,-36.435944,North_American_Native,Native_American
91,-11.460447,1.2375875,Irish,Celtic
92,-14.607527,30.379076,North_American_Native,Native_American
93,-32.662342,3.2886167,Hungarian,Urgic
94,-9.621621,26.962019,North_American_Native,Native_American
95,20.343248,21.696917,Nordic,Germanic
96,-5.7530146,-36.981453,North_American_Native,Native_American
97,9.371219,-44.60335,South_African,Bantu
98,25.595566,-33.288197,Slavic,Slavic
99,-4.240413,22.787516,North_American_Native,Native_American
100,-24.509699,4.4517217,Indian,Hindustani
101,2.7223682,-23.933296,Portuguese,Italic
102,-7.7679186,20.977503,North_American_Native,Native_American
103,24.132254,26.252348,French,Italic
104,15.700805,-0.78275263,Brazilian,Italic
105,5.2366567,-33.354992,Nordic,Germanic
106,10.012063,9.170517,Indian,Hindustani
107,-7.6889553,-36.78904,North_American_Native,Native_American
108,-9.063304,-6.0408816,French,Italic
109,-19.101038,-26.80366,Japanese,East_Asia
110,-14.54909,22.478722,Australian_Ethnic,Austronesian
111,16.227337,19.173603,Irish,Celtic
112,-12.438611,-33.87553,Dutch,Germanic
113,-9.34533,-23.30081,Dutch,Germanic
114,-9.804459,12.152598,Chinese,East_Asia
115,15.956172,-3.7219343,Tanzanian,Bantu
116,-7.82862,9.434922,North_American_Native,Native_American
117,-2.4583771,3.2716646,Greek,Hellenic
118,8.883033,2.6519887,Italian,Italic
119,29.495157,14.263099,Danish,Germanic
120,6.3633666,-38.149418,English,Germanic
121,8.983798,8.021845,North_American_Native,Native_American
122,-18.863857,-27.48075,Japanese,East_Asia
123,0.56765807,20.405966,North_American_Native,Native_American
124,24.77508,-10.233263,Swedish,Germanic
125,23.026617,13.384576,Scandinavian,Germanic
126,-21.854868,-12.604337,Italian,Italic
127,17.77903,2.2943015,Polish,Slavic
128,29.915606,14.610617,Nordic,Germanic
129,-13.193539,12.983721,Portuguese,Italic
130,-0.95287234,15.758058,North_American_Native,Native_American
131,9.622739,34.777756,Icelandic,Germanic
132,12.492953,0.5093309,Portuguese,Italic
133,-8.283104,-35.94868,North_American_Native,Native_American
134,-1.2710183,-14.292207,Polish,Slavic
135,22.025055,14.540603,Scandinavian,Germanic
136,-12.701963,6.540723,Russian,Slavic
137,-2.743117,-29.23219,Celtic,Celtic
138,-12.723218,-12.395248,French,Italic
139,-5.990803,27.976618,North_American_Native,Native_American
140,-3.288615,-28.92914,English,Germanic
141,-2.5237875,-10.977192,French,Italic
142,-16.663067,35.475094,North_American_Native,Native_American
143,5.1894274,-9.733147,Greek,Hellenic
