lemma,japanese,serbian,german,french,north_american_native,brazilian,armenian,english,russian,greek,danish,canadian_native,ukrainian,indian,norwegian,welsh,scandinavian,polish,czechoslovak,scottish,celtic,portuguese,arabic,croatian,estonian,dutch,italian,nigerian,albanian,maori,nordic,irish,hungarian,south_african,slavic,australian_ethnic,chinese,tanzanian,swedish,icelandic,philippine,hawaiian,jewish,romanian,korean,turkish,finnish,belgian,spanish,cataloanian,bulgarian,bukovinian,new_zealand_native,sami,pakistani,lithuanian,zimbabwe,diff
come,0.2198124267291911,0.0,0.2359032191921263,0.15364238410596026,0.25816161148413985,0.0,0.0,0.2655483870967742,0.22415005861664714,0.27510917030567683,0.21168129642133693,0.0,0.0,0.19261969142675361,0.0,0.0,0.2189650777466225,0.0,0.20656028368794327,0.22369668246445498,0.0,0.0,0.0,0.0,0.0,0.0,0.17043561056891215,0.0,0.0,0.0,0.23556093135772604,0.28135854882284833,0.0,0.0,0.18761726078799248,0.2540983606557377,0.19343065693430658,0.0,0.0,0.0,0.2479185938945421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
take,0.13452520515826494,0.0,0.14640147631740824,0.12200147167034585,0.11785135448020376,0.0,0.0,0.13703225806451613,0.16764361078546308,0.1331877729257642,0.11580013504388927,0.0,0.0,0.13042786702719897,0.0,0.0,0.09890390007647208,0.0,0.15780141843971632,0.15734597156398103,0.0,0.0,0.0,0.0,0.0,0.0,0.1654368007617234,0.0,0.0,0.0,0.12004838221953432,0.1316094172134311,0.0,0.0,0.13846153846153847,0.09744990892531877,0.12335766423357664,0.0,0.0,0.0,0.11748381128584644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
make,0.11107854630715124,0.0,0.09298749231084683,0.129654157468727,0.13452188006482982,0.0,0.0,0.11845161290322581,0.0921453692848769,0.09638178415470992,0.09689399054692775,0.0,0.0,0.0914585652934627,0.0,0.0,0.099923527912312,0.0,0.08156028368794327,0.1014218009478673,0.0,0.0,0.0,0.0,0.0,0.0,0.11687693406331826,0.0,0.0,0.0,0.12670093740550348,0.09147047472018525,0.0,0.0,0.10168855534709194,0.13752276867030966,0.09683698296836983,0.0,0.0,0.0,0.10823311748381129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
give,0.08528722157092614,0.0,0.11841295878613901,0.10890360559234731,0.06980782588562168,0.0,0.0,0.10529032258064516,0.13716295427901523,0.10106051154086089,0.09081701553004727,0.0,0.0,0.13281374264355017,0.0,0.0,0.08768799388223299,0.0,0.13430851063829788,0.07582938388625593,0.0,0.0,0.0,0.0,0.0,0.0,0.14353725303499168,0.0,0.0,0.0,0.09464771696401572,0.10864531069085295,0.0,0.0,0.11332082551594747,0.07285974499089254,0.09927007299270073,0.0,0.0,0.0,0.09898242368177614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
know,0.05422039859320047,0.0,0.060282960836579864,0.07637969094922738,0.05001157675387821,0.0,0.0,0.05316129032258064,0.05885111371629543,0.048034934497816595,0.07258609047940581,0.0,0.0,0.05551137267377127,0.0,0.0,0.05786387968391537,0.0,0.06515957446808511,0.04739336492890995,0.0,0.0,0.0,0.0,0.0,0.0,0.05736729350154725,0.0,0.0,0.0,0.0725733293014817,0.08683905827865689,0.0,0.0,0.06228893058161351,0.05919854280510018,0.047688564476885645,0.0,0.0,0.0,0.04810360777058279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
happen,0.021101992966002344,0.0,0.02183719499692434,0.02384105960264901,0.0177124334336652,0.0,0.0,0.016774193548387096,0.020867526377491206,0.01653150343106675,0.02160702228224173,0.0,0.0,0.02433593128678225,0.0,0.0,0.024216161101198064,0.0,0.02349290780141844,0.022748815165876776,0.0,0.0,0.0,0.0,0.0,0.0,0.024517971911449655,0.0,0.0,0.0,0.013909888116117326,0.01370127363952142,0.0,0.0,0.02326454033771107,0.010018214936247723,0.022627737226277374,0.0,0.0,0.0,0.013876040703052728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
find,0.0354630715123095,0.0,0.026758253024400245,0.042678440029433405,0.02824727946283862,0.0,0.0,0.02632258064516129,0.022743259085580305,0.026512788521522147,0.020594193112761647,0.0,0.0,0.040400827103547005,0.0,0.0,0.023196533265358144,0.0,0.03368794326241135,0.025592417061611375,0.0,0.0,0.0,0.0,0.0,0.0,0.03475363008807427,0.0,0.0,0.0,0.023283943150892047,0.026051717483597067,0.0,0.0,0.04803001876172608,0.04735883424408015,0.02141119221411192,0.0,0.0,0.0,0.032377428307123035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
leave,0.021101992966002344,0.0,0.018556489645273733,0.026048565121412803,0.018870108821486455,0.0,0.0,0.01625806451612903,0.0246189917936694,0.016219588271990017,0.011478730587440918,0.0,0.0,0.02863050739621441,0.0,0.0,0.013510068824878919,0.0,0.018617021276595744,0.023696682464454975,0.0,0.0,0.0,0.0,0.0,0.0,0.03689597714829802,0.0,0.0,0.0,0.016328999092833384,0.02527981474334234,0.0,0.0,0.022138836772983114,0.030965391621129327,0.0170316301703163,0.0,0.0,0.0,0.014801110083256245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
lose,0.031652989449003514,0.0,0.01773631330736108,0.027078734363502575,0.02106969205834684,0.0,0.0,0.01496774193548387,0.020398593200468933,0.027136618839675608,0.016542876434841324,0.0,0.0,0.01972323842850326,0.0,0.0,0.016314045373438696,0.0,0.016400709219858155,0.03033175355450237,0.0,0.0,0.0,0.0,0.0,0.0,0.03023089740537967,0.0,0.0,0.0,0.016933776837012398,0.018911617136240833,0.0,0.0,0.02176360225140713,0.01912568306010929,0.01630170316301703,0.0,0.0,0.0,0.02682701202590194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
keep,0.019050410316529893,0.0,0.017121181053926595,0.01648270787343635,0.023269275295207222,0.0,0.0,0.020129032258064516,0.013599062133645956,0.014660012476606364,0.017555705604321403,0.0,0.0,0.01924606330523302,0.0,0.0,0.01937292888095845,0.0,0.01551418439716312,0.017061611374407582,0.0,0.0,0.0,0.0,0.0,0.0,0.01594858367055463,0.0,0.0,0.0,0.01965527668581796,0.02277113083751447,0.0,0.0,0.01726078799249531,0.02185792349726776,0.0170316301703163,0.0,0.0,0.0,0.009250693802035153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12771616471688807
